ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,CR+PC/LWAL+CDL/H:1/FME/IND,9.0,284635620.0,42695343.0,56927124.0,185013153.0,72448.0,0.0,9237.0,912.0,1641.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,CR+PC/LWAL+CDM/H:1/FME/IND,142.0,384188141.0,57628221.0,76837628.0,249722292.0,97977.0,0.0,12492.0,1233.0,2219.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,CR/LFINF+CDL/H:2/FME/IND,1.0,34525799.0,5178870.0,6905160.0,22441769.0,8728.0,0.0,1113.0,110.0,198.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,CR/LFINF+CDM/H:2/FME/IND,4.0,40083200.0,6012480.0,8016640.0,26054080.0,10150.0,0.0,1294.0,128.0,230.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,MIX(S+CR)/LDUAL+CDL/H:2/FME/IND,0.0,37358351.0,5603753.0,7471670.0,24282928.0,9524.0,0.0,1214.0,120.0,216.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,MIX(S+CR)/LDUAL+CDM/H:2/FME/IND,1.0,37358351.0,5603753.0,7471670.0,24282928.0,9524.0,0.0,1214.0,120.0,216.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,MR/LWAL+CDL/H:1/FME/IND,1.0,739612.0,221884.0,110942.0,406786.0,242.0,0.0,31.0,3.0,5.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,MR/LWAL+CDM/H:1/FME/IND,2.0,16182015.0,4854605.0,2427302.0,8900108.0,5174.0,0.0,660.0,65.0,117.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,MUR/LWAL+CDN/H:1/FME/IND,89.0,368168257.0,128858890.0,55225239.0,184084129.0,133362.0,0.0,17003.0,1678.0,3020.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,S/LFM+CDL/H:1/FME/IND,12.0,205489986.0,30823498.0,51372496.0,123293992.0,59619.0,0.0,7601.0,750.0,1350.0
AUS,Australia,ACT,Australian Capital Territory,Total,Ind,S/LFM+CDM/H:1/FME/IND,73.0,270059355.0,40508903.0,67514839.0,162035613.0,78875.0,0.0,10056.0,992.0,1786.0
AUS,Australia,NSW,New South Wales,Total,Ind,CR+PC/LWAL+CDL/H:1/FME/IND,1142.0,26662262119.0,3999339318.0,5332452424.0,17330470378.0,7551446.0,0.0,123956.0,12232.0,22018.0
AUS,Australia,NSW,New South Wales,Total,Ind,CR+PC/LWAL+CDM/H:1/FME/IND,7523.0,30418513638.0,4562777046.0,6083702728.0,19772033865.0,8618712.0,0.0,141475.0,13961.0,25130.0
AUS,Australia,NSW,New South Wales,Total,Ind,CR/LFINF+CDL/H:2/FME/IND,75.0,2103411221.0,315511683.0,420682244.0,1367217294.0,588363.0,0.0,9658.0,953.0,1715.0
AUS,Australia,NSW,New South Wales,Total,Ind,CR/LFINF+CDM/H:2/FME/IND,277.0,1980868099.0,297130215.0,396173620.0,1287564264.0,553112.0,0.0,9079.0,896.0,1613.0
AUS,Australia,NSW,New South Wales,Total,Ind,MIX(S+CR)/LDUAL+CDL/H:2/FME/IND,61.0,1480493814.0,222074072.0,296098763.0,962320979.0,407711.0,0.0,6693.0,660.0,1189.0
AUS,Australia,NSW,New South Wales,Total,Ind,MIX(S+CR)/LDUAL+CDM/H:2/FME/IND,146.0,1391350465.0,208702570.0,278270093.0,904377802.0,387052.0,0.0,6353.0,627.0,1129.0
