ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
NCL,New Caledonia,NCL.1_1,Îles Loyauté,Total,Com,CR+CIP/LFINF+DUM/H:1/COM,29.125,12378125.0,3094531.25,4332343.75,4951250.0,4368.75,0,1243.29,121.82,274.1
NCL,New Caledonia,NCL.1_1,Îles Loyauté,Total,Com,CR+CIP/LFM+DUL/HBET:3-/COM,7.28125,12378125.0,3094531.25,4332343.75,4951250.0,4368.75,0,1243.29,121.82,274.1
NCL,New Caledonia,NCL.1_1,Îles Loyauté,Total,Com,CR+CIP/LWAL+DUL/H:1/COM,21.84375,9283593.75,2320898.4375,3249257.8125,3713437.5,3276.5625,0,932.47,91.36,205.57999999999998
NCL,New Caledonia,NCL.1_1,Îles Loyauté,Total,Com,CR+CIP/LWAL+DUL/H:2/COM,21.84375,18567187.5,4641796.875,6498515.625,7426875.0,6553.125,0,1864.93,182.72,411.14
NCL,New Caledonia,NCL.1_1,Îles Loyauté,Total,Com,ME+MEO/LN+DUL/H:1/COM,14.5625,4032692.3076,1814711.5381,806538.4615,1411442.3077,2184.375,0,621.64,60.91,137.04
NCL,New Caledonia,NCL.1_1,Îles Loyauté,Total,Com,W+WLI/LPB+DUL/HBET:1-2/COM,50.96875,9409615.385,4234326.9228,1881923.0772,3293365.3848,5096.875,0,1450.51,142.12,319.78
NCL,New Caledonia,NCL.2_1,Nord,Total,Com,CR+CIP/LFINF+DUM/H:1/COM,103.0875,43812187.5,10953046.875,15334265.625,17524875.0,15463.125,0,3259.1,319.32,718.5
NCL,New Caledonia,NCL.2_1,Nord,Total,Com,CR+CIP/LFM+DUL/HBET:3-/COM,25.771875,43812187.5,10953046.875,15334265.625,17524875.0,15463.125,0,3259.1,319.32,718.5
NCL,New Caledonia,NCL.2_1,Nord,Total,Com,CR+CIP/LWAL+DUL/H:1/COM,77.315625,32859140.625,8214785.1568,11500699.2193,13143656.25,11597.34375,0,2444.35,239.51,538.89
NCL,New Caledonia,NCL.2_1,Nord,Total,Com,CR+CIP/LWAL+DUL/H:2/COM,77.315625,65718281.25,16429570.3125,23001398.4375,26287312.5,23194.6875,0,4888.65,479.01,1077.76
NCL,New Caledonia,NCL.2_1,Nord,Total,Com,ME+MEO/LN+DUL/H:1/COM,51.54375,14273653.84699,6423144.23026,2854730.7693,4995778.846489999,7731.5625,0,1629.53,159.65,359.24
NCL,New Caledonia,NCL.2_1,Nord,Total,Com,W+WLI/LPB+DUL/HBET:1-2/COM,180.403125,33305192.3077,14987336.53798,6661038.46172,11656817.308419999,18040.3125,0,3802.29,372.58000000000004,838.26
NCL,New Caledonia,NCL.3_1,Sud,Total,Com,CR+CIP/LFINF+DUM/H:1/COM,915.5875,389124687.5,97281171.875,136193640.625,155649875.0,137338.125,0,13447.750000000002,1317.6299999999999,2964.68
NCL,New Caledonia,NCL.3_1,Sud,Total,Com,CR+CIP/LFM+DUL/HBET:3-/COM,228.896875,389124687.5,97281171.875,136193640.625,155649875.0,137338.125,0,13447.750000000002,1317.6299999999999,2964.68
NCL,New Caledonia,NCL.3_1,Sud,Total,Com,CR+CIP/LWAL+DUL/H:1/COM,686.6906250000001,291843515.675,72960878.9093,102145230.4673,116737406.25,103003.59375,0,10085.810000000001,988.22,2223.5099999999998
NCL,New Caledonia,NCL.3_1,Sud,Total,Com,CR+CIP/LWAL+DUL/H:2/COM,686.6906250000001,583687031.25,145921757.8075,204290460.9125,233474812.5,206007.1875,0,20171.63,1976.46,4447.05
NCL,New Caledonia,NCL.3_1,Sud,Total,Com,ME+MEO/LN+DUL/H:1/COM,457.79375,126773653.8542,57048144.2287,25354730.77163,44370778.84702,68669.0625,0,6723.87,658.8100000000001,1482.36
NCL,New Caledonia,NCL.3_1,Sud,Total,Com,W+WLI/LPB+DUL/HBET:1-2/COM,1602.2781249999998,295805192.2837,133112336.5497,59161038.4564,103531817.3054,160227.8125,0,15689.05,1537.23,3458.8
