ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
NZL,New Zealand,NonRes,180737986.8405,705711,253525949212.3498,139358142802.3304,84937698866.7826,0.0,0.0,477821790881.2743,,,256.1076514897741,2643.7264198530033
NZL,New Zealand,Res,284853751.5492,1642546,457307176697.632,281671366087.9336,196598082763.2158,1883673.0,5083470.0,935576625548.0582,,,173.4220847082517,3284.4104051986315
NZL,New Zealand,NonRes,6637785.1238,62187,9906250855.9817,5405546771.9106,2831944566.7663,0.0,0.0,18143742194.632,NZL-ADM1-1590546715-B1,Northland Region,106.73911145094634,2733.403063858908
NZL,New Zealand,Res,7950631.1796,55756,13110141189.5074,7950782925.5042,5398326825.074,60319.0,194500.0,26459250940.0897,NZL-ADM1-1590546715-B1,Northland Region,142.59687171963557,3327.9434478082376
NZL,New Zealand,NonRes,1542514.3141,7020,2308160184.5083,1257306383.2859,656953880.5209,0.0,0.0,4222420448.1771,NZL-ADM1-1590546715-B10,West Coast Region,219.7313837749288,2737.36224654792
NZL,New Zealand,Res,1488082.134,12620,2334764610.7196,1445497533.1957,1052992369.7874,15468.0,32330.0,4833254513.675,NZL-ADM1-1590546715-B10,West Coast Region,117.91459064976229,3247.9756347071366
NZL,New Zealand,NonRes,14128918.4271,43620,20306991841.6415,11114105197.4263,6419882570.6368,0.0,0.0,37840979609.6838,NZL-ADM1-1590546715-B11,Canterbury Region,323.90917989683635,2678.2644266034426
NZL,New Zealand,Res,43134456.9022,273054,67137782139.0631,41904433689.6588,30518319449.2116,353325.0,646680.137,139560535277.245,NZL-ADM1-1590546715-B11,Canterbury Region,157.97042673683592,3235.4768159866862
NZL,New Zealand,NonRes,10135641.2101,30103,14668014656.9579,8091770551.7967,4486560189.8816,0.0,0.0,27246345398.8562,NZL-ADM1-1590546715-B12,Otago Region,336.69870810550447,2688.171851594911
NZL,New Zealand,Res,12440948.0283,79917,19100066361.7468,11974380197.0908,8913971542.4777,99865.0,244599.863,39988418101.445,NZL-ADM1-1590546715-B12,Otago Region,155.67336146627127,3214.258110433505
NZL,New Zealand,NonRes,5081425.8845,22101,7537140386.7938,4108220596.4522,2197828926.2318,0.0,0.0,13843189909.3424,NZL-ADM1-1590546715-B13,Southland Region,229.91836950816705,2724.2727187202763
NZL,New Zealand,Res,5741989.9039,37471,9031782192.3599,5601828514.0086,4038972534.5857,40441.0,102500.0,18672583240.9576,NZL-ADM1-1590546715-B13,Southland Region,153.23823500573778,3251.9359235158267
NZL,New Zealand,NonRes,2110315.1453,10024,3104862457.0747,1693964089.3127,924937005.9931,0.0,0.0,5723763552.3157,NZL-ADM1-1590546715-B14,Tasman Region,210.52625152633678,2712.279047545771
NZL,New Zealand,Res,2597935.0847,18431,4199942062.528,2565036224.6999,1796896782.4412,21199.0,56400.0,8561875069.827,NZL-ADM1-1590546715-B14,Tasman Region,140.95464623189193,3295.646269319964
