ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
NIU,Niue,Com,MCF,MCF/LWAL+DUL/H:1/COM,21,3970893.7959966958,3970893.7959966958,5294525.061328928,0.0,0.0,9368.257000000001,13236312.65332232,446.10747619047623,1412.8895752243259
NIU,Niue,Com,RC,CR+CIP/LFINF+DUL/HBET:2-3/COM,2,1457747.2255194157,1665996.829165047,1041248.0182281544,0.0,0.0,759.36,4164992.0729126176,379.68,5484.871566730691
NIU,Niue,Com,S,S+SL/LPB+DUL/EWME/RME1/H:1/COM,3,684876.2729878775,684876.2729878775,342438.13649393874,0.0,0.0,642.5999999999999,1712190.6824696937,214.19999999999996,2664.4735176932677
NIU,Niue,Com,W,W+WLI/LFBR+DUL/H:1/COM,54,6215242.835595329,6215242.835595329,3107621.4177976646,0.0,0.0,7019.04,15538107.088988323,129.98222222222222,2213.7082975717935
NIU,Niue,Com,W,W+WLI/LFBR+DUL/HBET:2-3/COM,1,793427.6364340782,793427.6364340782,396713.8182170391,0.0,0.0,352.8,1983569.0910851955,352.8,5622.361369289103
NIU,Niue,Com,W,W+WLI/LPB+DUL/H:1/COM,2,283195.7472350756,235996.4560292297,424793.6208526135,0.0,0.0,467.03999999999996,943985.824116919,233.51999999999998,2021.2097981263255
NIU,Niue,Ind,MCF,MCF/LWAL+DUL/H:1/IND,2,120503.6387386373,75314.7742116483,105440.68389630763,0.0,0.0,286.44,301259.0968465932,143.22,1051.7354309684165
NIU,Niue,Ind,S,S+SL/LPB+DUL/EWME/RME1/H:1/IND,3,372736.60942370165,289906.2517739902,165660.71529942297,0.0,0.0,638.4000000000001,828303.5764971148,212.80000000000004,1297.4680082974855
NIU,Niue,Ind,W,W+WLI/LFBR+DUL/H:1/IND,3,347857.77831623453,270556.0498015157,154603.45702943756,0.0,0.0,614.88,773017.2851471879,204.96,1257.1839792271467
NIU,Niue,Ind,W,W+WLI/LPB+DUL/H:1/IND,1,705898.2488792392,504213.0349137423,806740.8558619877,0.0,0.0,1837.08,2016852.139654969,1837.08,1097.8575454824881
NIU,Niue,Res,MCF,MCF/LWAL+DUL/H:1/RES,434,23851746.231871184,28622095.478245422,42933143.21736813,225.26441784548422,760.7986942328617,48338.64,95406984.92748474,111.37935483870967,1973.7209182443846
NIU,Niue,Res,RC,CR+CIP/LFINF+DUL/HBET:2-3/RES,9,1222374.452381252,3055936.1309531303,1833561.678571878,4.671381936887922,15.776931447225245,1299.48,6111872.261906261,144.38666666666666,4703.321530078386
NIU,Niue,Res,S,S+SL/LPB+DUL/EWME/RME1/H:1/RES,3,91282.99101862438,121710.65469149919,91282.99101862438,1.557127312295974,5.258977149075081,311.64,304276.636728748,103.88,976.3722138645488
NIU,Niue,Res,W,W+WLI/LFBR+DUL/H:1/RES,458,31740349.92582573,36274685.62951513,22671678.518446952,237.72143634385202,802.8705114254624,55008.24,90686714.07378781,120.10532751091702,1648.6023561885968
NIU,Niue,Res,W,W+WLI/LFBR+DUL/HBET:2-3/RES,7,1773885.8850956277,2027298.1543950033,1267061.346496877,3.633297062023939,12.27094668117519,1128.1200000000001,5068245.385987508,161.16000000000003,4492.647400974637
NIU,Niue,Res,W,W+WLI/LPB+DUL/H:1/RES,8,565371.6846156294,565371.6846156294,1130743.3692312588,4.15233949945593,14.023939064200217,1159.2,2261486.7384625175,144.9,1950.9029834907844
