ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
WSM,Samoa,WSM.10_1,Va'a-o-Fonoti,Total,Com,MCF/LWAL+DUL/H:1/COM,10,695678.0,278271.0,208703.0,208703.0,961.0,0.0,199.0,15.0,34.0
WSM,Samoa,WSM.10_1,Va'a-o-Fonoti,Total,Com,W+WLI/LFBR+DUL/H:1/COM,4,263812.0,52762.0,105525.0,105525.0,398.0,0.0,82.0,6.0,14.0
WSM,Samoa,WSM.10_1,Va'a-o-Fonoti,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,1,727.0,327.0,182.0,218.0,22.0,0.0,5.0,0.0,1.0
WSM,Samoa,WSM.10_1,Va'a-o-Fonoti,Total,Com,W+WLI/LPB+DUL/H:1/COM,2,247144.0,111215.0,61786.0,74143.0,406.0,0.0,84.0,6.0,14.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,CR+CIP/LFINF+DUL/HBET:2-3/COM,1,1861905.0,465476.0,744762.0,651667.0,5289.0,0.0,76.0,6.0,13.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,MCF/LWAL+DUL/H:1/COM,107,13919892.0,5567957.0,4175968.0,4175968.0,20594.0,0.0,816.0,62.0,140.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,5,768600.0,153720.0,307440.0,307440.0,951.0,0.0,14.0,1.0,2.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,7,869724.0,173945.0,347890.0,347890.0,1239.0,0.0,66.0,5.0,11.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,W+WLI/LFBR+DUL/H:1/COM,93,5830064.0,1166013.0,2332026.0,2332026.0,9278.0,0.0,262.0,20.0,45.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,5,12015.0,5407.0,3004.0,3605.0,303.0,0.0,8.0,1.0,1.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,3,242646.0,109191.0,60661.0,72794.0,371.0,0.0,10.0,1.0,2.0
WSM,Samoa,WSM.11_1,Vaisigano,Total,Com,W+WLI/LPB+DUL/H:1/COM,26,4617221.0,2077750.0,1154305.0,1385166.0,7709.0,0.0,239.0,18.0,41.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,CR+CIP/LFINF+DUL/HBET:2-3/COM,9,7635523.0,1908881.0,3054209.0,2672433.0,13183.0,0.0,309.0,24.0,53.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,MCF/LWAL+DUL/H:1/COM,242,28671938.0,11468775.0,8601581.0,8601581.0,39043.0,0.0,2417.0,184.0,415.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,26,5386687.0,1077337.0,2154675.0,2154675.0,6028.0,0.0,241.0,18.0,41.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,27,1635077.0,327015.0,654031.0,654031.0,2815.0,0.0,123.0,9.0,21.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,W+WLI/LFBR+DUL/H:1/COM,218,22410316.0,4482063.0,8964127.0,8964127.0,40771.0,0.0,1768.0,135.0,303.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,15,48415.0,21787.0,12104.0,14525.0,888.0,0.0,52.0,4.0,9.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,5,236853.0,106584.0,59213.0,71056.0,367.0,0.0,33.0,3.0,6.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,W+WLI/LPB+DUL/H:1/COM,38,5835215.0,2625847.0,1458804.0,1750565.0,9288.0,0.0,352.0,27.0,60.0
WSM,Samoa,WSM.1_1,A'ana,Total,Com,W+WLI/LPB+DUL/HBET:2-3/COM,1,23184.0,10433.0,5796.0,6955.0,113.0,0.0,4.0,0.0,1.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,CR+CIP/LFINF+DUL/HBET:2-3/COM,1,374553.0,93638.0,149821.0,131094.0,193.0,0.0,18.0,1.0,3.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,MCF/LWAL+DUL/H:1/COM,29,4476968.0,1790787.0,1343090.0,1343090.0,6036.0,0.0,549.0,42.0,94.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,2,67093.0,13419.0,26837.0,26837.0,103.0,0.0,9.0,1.0,2.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,5,154025.0,30805.0,61610.0,61610.0,704.0,0.0,64.0,5.0,11.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,W+WLI/LFBR+DUL/H:1/COM,36,2784861.0,556972.0,1113944.0,1113944.0,3832.0,0.0,349.0,27.0,60.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,5,10763.0,4843.0,2691.0,3229.0,244.0,0.0,22.0,2.0,4.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,1,63103.0,28396.0,15776.0,18931.0,97.0,0.0,9.0,1.0,2.0
WSM,Samoa,WSM.2_1,Aiga-i-le-Tai,Total,Com,W+WLI/LPB+DUL/H:1/COM,7,940715.0,423322.0,235179.0,282214.0,1376.0,0.0,125.0,10.0,22.0
WSM,Samoa,WSM.3_1,Atua,Total,Com,MCF/LWAL+DUL/H:1/COM,70,8422222.0,3368889.0,2526666.0,2526666.0,11897.0,0.0,2469.0,188.0,424.0
WSM,Samoa,WSM.3_1,Atua,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,9,1159603.0,231921.0,463841.0,463841.0,1395.0,0.0,275.0,21.0,47.0
WSM,Samoa,WSM.3_1,Atua,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,4,226076.0,45215.0,90430.0,90430.0,422.0,0.0,324.0,25.0,56.0
WSM,Samoa,WSM.3_1,Atua,Total,Com,W+WLI/LFBR+DUL/H:1/COM,54,3737261.0,747452.0,1494904.0,1494904.0,5223.0,0.0,1187.0,91.0,204.0
WSM,Samoa,WSM.3_1,Atua,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,5,15595.0,7018.0,3899.0,4678.0,315.0,0.0,67.0,5.0,12.0
WSM,Samoa,WSM.3_1,Atua,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,3,226731.0,102029.0,56683.0,68019.0,357.0,0.0,84.0,6.0,14.0
WSM,Samoa,WSM.3_1,Atua,Total,Com,W+WLI/LPB+DUL/H:1/COM,12,1448777.0,651950.0,362194.0,434633.0,2267.0,0.0,530.0,40.0,91.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,CR+CIP/LFINF+DUL/HBET:2-3/COM,3,5024539.0,1256135.0,2009815.0,1758589.0,12348.0,0.0,497.0,38.0,85.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,MCF/LWAL+DUL/H:1/COM,222,37459772.0,14983909.0,11237932.0,11237932.0,49658.0,0.0,1104.0,84.0,190.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,40,8780233.0,1756047.0,3512093.0,3512093.0,9681.0,0.0,231.0,18.0,40.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,S+SL/LPB+DUL/EWME/RME1/HBET:2-3/COM,1,894884.0,178977.0,357953.0,357953.0,533.0,0.0,9.0,1.0,1.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,18,2866023.0,573205.0,1146409.0,1146409.0,6362.0,0.0,121.0,9.0,21.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,W+WLI/LFBR+DUL/H:1/COM,188,22147471.0,4429494.0,8858988.0,8858988.0,35674.0,0.0,724.0,55.0,124.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,14,132666.0,59700.0,33166.0,39800.0,2780.0,0.0,63.0,5.0,11.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,6,1199449.0,539752.0,299862.0,359835.0,3162.0,0.0,53.0,4.0,9.0
WSM,Samoa,WSM.4_1,Fa'asaleleaga,Total,Com,W+WLI/LPB+DUL/H:1/COM,36,6770734.0,3046830.0,1692684.0,2031220.0,14211.0,0.0,287.0,22.0,49.0
WSM,Samoa,WSM.5_1,Gaga'emauga,Total,Com,MCF/LWAL+DUL/H:1/COM,22,3329455.0,1331782.0,998837.0,998837.0,4294.0,0.0,364.0,28.0,62.0
WSM,Samoa,WSM.5_1,Gaga'emauga,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,3,698958.0,139792.0,279583.0,279583.0,844.0,0.0,62.0,5.0,11.0
WSM,Samoa,WSM.5_1,Gaga'emauga,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,2,282069.0,56414.0,112827.0,112827.0,446.0,0.0,27.0,2.0,5.0
WSM,Samoa,WSM.5_1,Gaga'emauga,Total,Com,W+WLI/LFBR+DUL/H:1/COM,26,3507631.0,701526.0,1403052.0,1403052.0,4721.0,0.0,368.0,28.0,63.0
WSM,Samoa,WSM.5_1,Gaga'emauga,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,4,13828.0,6223.0,3457.0,4148.0,392.0,0.0,31.0,2.0,5.0
WSM,Samoa,WSM.5_1,Gaga'emauga,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,1,384983.0,173242.0,96246.0,115495.0,589.0,0.0,36.0,3.0,6.0
WSM,Samoa,WSM.5_1,Gaga'emauga,Total,Com,W+WLI/LPB+DUL/H:1/COM,2,549219.0,247148.0,137305.0,164766.0,840.0,0.0,110.0,8.0,19.0
WSM,Samoa,WSM.6_1,Gagaifomauga,Total,Com,MCF/LWAL+DUL/H:1/COM,33,5176435.0,2070574.0,1552930.0,1552930.0,6857.0,0.0,373.0,28.0,64.0
WSM,Samoa,WSM.6_1,Gagaifomauga,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,6,1617419.0,323484.0,646967.0,646967.0,1677.0,0.0,89.0,7.0,15.0
WSM,Samoa,WSM.6_1,Gagaifomauga,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,5,233574.0,46715.0,93430.0,93430.0,393.0,0.0,23.0,2.0,4.0
WSM,Samoa,WSM.6_1,Gagaifomauga,Total,Com,W+WLI/LFBR+DUL/H:1/COM,32,3227831.0,645566.0,1291133.0,1291133.0,5055.0,0.0,308.0,24.0,53.0
WSM,Samoa,WSM.6_1,Gagaifomauga,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,1,3207.0,1443.0,802.0,962.0,49.0,0.0,4.0,0.0,1.0
WSM,Samoa,WSM.6_1,Gagaifomauga,Total,Com,W+WLI/LPB+DUL/H:1/COM,5,1773230.0,797953.0,443307.0,531969.0,4909.0,0.0,314.0,24.0,54.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,CR+CIP/LFINF+DUL/HBET:2-3/COM,2,623599.0,155900.0,249440.0,218260.0,373.0,0.0,4.0,0.0,1.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,MCF/LWAL+DUL/H:1/COM,210,23367810.0,9347124.0,7010343.0,7010343.0,31681.0,0.0,1143.0,87.0,196.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,24,5065218.0,1013044.0,2026087.0,2026087.0,5408.0,0.0,220.0,17.0,38.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,S+SL/LPB+DUL/EWME/RME1/HBET:2-3/COM,1,160394.0,32079.0,64158.0,64158.0,76.0,0.0,11.0,1.0,2.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,29,1784863.0,356973.0,713945.0,713945.0,2886.0,0.0,86.0,7.0,15.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,W+WLI/LFBR+DUL/H:1/COM,163,10346427.0,2069285.0,4138571.0,4138571.0,14572.0,0.0,416.0,32.0,71.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,16,48541.0,21844.0,12135.0,14562.0,936.0,0.0,20.0,1.0,3.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,5,371719.0,167273.0,92930.0,111516.0,594.0,0.0,13.0,1.0,2.0
WSM,Samoa,WSM.7_1,Palauli,Total,Com,W+WLI/LPB+DUL/H:1/COM,41,4191186.0,1886034.0,1047797.0,1257356.0,7055.0,0.0,207.0,16.0,35.0
WSM,Samoa,WSM.8_1,Satupa'itea,Total,Com,MCF/LWAL+DUL/H:1/COM,46,6428794.0,2571518.0,1928638.0,1928638.0,8519.0,0.0,699.0,53.0,120.0
WSM,Samoa,WSM.8_1,Satupa'itea,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,3,883927.0,176785.0,353571.0,353571.0,966.0,0.0,79.0,6.0,14.0
WSM,Samoa,WSM.8_1,Satupa'itea,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,3,322476.0,64495.0,128990.0,128990.0,571.0,0.0,47.0,4.0,8.0
WSM,Samoa,WSM.8_1,Satupa'itea,Total,Com,W+WLI/LFBR+DUL/H:1/COM,32,1935095.0,387019.0,774038.0,774038.0,2980.0,0.0,245.0,19.0,42.0
WSM,Samoa,WSM.8_1,Satupa'itea,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,1,490.0,221.0,123.0,147.0,15.0,0.0,1.0,0.0,0.0
WSM,Samoa,WSM.8_1,Satupa'itea,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,1,96803.0,43561.0,24201.0,29041.0,148.0,0.0,12.0,1.0,2.0
WSM,Samoa,WSM.8_1,Satupa'itea,Total,Com,W+WLI/LPB+DUL/H:1/COM,8,899042.0,404569.0,224760.0,269713.0,1400.0,0.0,115.0,9.0,20.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,CR+CIP/LFINF+DUL/HBET:2-3/COM,205,273131142.0,68282785.0,109252457.0,95595900.0,89888.0,0.0,2873.0,219.0,493.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,MCF/LWAL+DUL/H:1/COM,653,145822193.0,58328877.0,43746658.0,43746658.0,126912.0,0.0,7454.0,569.0,1279.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,S+SL/LPB+DUL/EWME/RME1/H:1/COM,61,20209174.0,4041835.0,8083670.0,8083670.0,14864.0,0.0,855.0,65.0,147.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,S+SL/LPB+DUL/EWME/RME1/HBET:2-3/COM,7,10434810.0,2086962.0,4173924.0,4173924.0,2447.0,0.0,85.0,6.0,15.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,S+SL/LPB+DUL/EWO+WOL/H:1/COM,61,14543080.0,2908616.0,5817232.0,5817232.0,12295.0,0.0,641.0,49.0,110.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,W+WLI/LFBR+DUL/EWW+WOL/HBET:2-3/COM,1,101051.0,45473.0,25263.0,30315.0,39.0,0.0,1.0,0.0,0.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,W+WLI/LFBR+DUL/H:1/COM,669,111119749.0,22223950.0,44447900.0,44447900.0,137509.0,0.0,6601.0,503.0,1133.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,W+WLI/LFBR+DUL/HBET:2-3/COM,27,18940324.0,3788065.0,7576130.0,7576130.0,5283.0,0.0,169.0,13.0,29.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,W+WLI/LPB+DNO/HBET:1-2/COM,46,258443.0,116300.0,64611.0,77533.0,5295.0,0.0,312.0,24.0,54.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/COM,23,10310649.0,4639792.0,2577662.0,3093195.0,26821.0,0.0,392.0,30.0,67.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,W+WLI/LPB+DUL/H:1/COM,113,31941412.0,14373635.0,7985353.0,9582424.0,35728.0,0.0,2049.0,156.0,352.0
WSM,Samoa,WSM.9_1,Tuamasaga,Total,Com,W+WLI/LPB+DUL/HBET:2-3/COM,35,47282473.0,21277113.0,11820618.0,14184742.0,19397.0,0.0,1203.0,92.0,206.0
