ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
TON,Tonga,Com,MCF,MCF/LWAL+DUM/H:1/COM,208060.4738,840,56081027.7913,56081027.7913,74774703.7218,0.0,0.0,186936759.3045
TON,Tonga,Com,RC,CR+CIP/LWAL+DUH/HBET:2-3/COM,81377.0896,205,89652378.734,102459861.4102,64037413.3814,0.0,0.0,256149653.5256
TON,Tonga,Com,S,S+SL/LPB+DUH/EWME/RME1/H:1/COM,2821.438,27,2086076.6282,2086076.6282,1043038.3141,0.0,0.0,5215191.5705
TON,Tonga,Com,S,S+SL/LPB+DUH/EWME/RME1/HBET:2-3/COM,6508.8629,20,12019445.2421,12019445.2421,6009722.621,0.0,0.0,30048613.1052
TON,Tonga,Com,S,S+SL/LPB+DUH/EWO+WOL/H:1/COM,11429.3315,56,4111996.9826,4111996.9826,2055998.4913,0.0,0.0,10279992.4566
TON,Tonga,Com,W,W+WLI/LFBR+DUH/EWW+WOL/HBET:2-3/COM,1066.2084,8,1243036.8873,1035864.0728,1864555.331,0.0,0.0,4143456.291
TON,Tonga,Com,W,W+WLI/LFBR+DUH/H:1/COM,102744.4676,953,50118901.4587,50118901.4587,25059450.7294,0.0,0.0,125297253.6468
TON,Tonga,Com,W,W+WLI/LFBR+DUH/HBET:2-3/COM,5027.3852,29,7533046.1581,7533046.1581,3766523.079,0.0,0.0,18832615.3952
TON,Tonga,Com,W,W+WLI/LPB+DUH/EWO+WOL/RWO5/H:1/COM,1501.1864,16,432060.2228,360050.1856,648090.3341,0.0,0.0,1440200.7425
TON,Tonga,Com,W,W+WLI/LPB+DUH/EWV/RWO5/HBET:1-2/COM,2639.2026,19,231046.2512,192538.5426,346569.3768,0.0,0.0,770154.1706
TON,Tonga,Com,W,W+WLI/LPB+DUH/H:1/COM,9534.6531,60,3350907.9206,2792423.2672,5026361.8809,0.0,0.0,11169693.0687
TON,Tonga,Com,W,W+WLI/LPB+DUH/HBET:1-2/COM,4578.8238,66,108231.2967,90192.7473,162346.9451,0.0,0.0,360770.9891
