ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,CR+CIP/LFINF+DUL/HBET:2-3/RES,45,39353709.0,11806113.0,19676854.0,7870742.0,4939.0,353.0,70.0,333.0,168.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,MCF/LWAL+DUL/H:1/RES,258,33489417.0,15070238.0,10046825.0,8372354.0,24604.0,2023.0,400.0,1908.0,960.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,W+WLI/LFBR+DUL/H:1/RES,452,71393593.0,17848398.0,28557437.0,24987758.0,48504.0,3544.0,701.0,3343.0,1682.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,W+WLI/LFBR+DUL/HBET:2-3/RES,7,5444568.0,1361142.0,2177827.0,1905599.0,753.0,55.0,11.0,52.0,26.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,W+WLI/LPB+DNO/HBET:1-2/RES,8,69211.0,34605.0,17303.0,17303.0,1072.0,63.0,12.0,59.0,30.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/RES,2,52167.0,26084.0,13042.0,13042.0,204.0,16.0,3.0,15.0,7.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,W+WLI/LPB+DUL/EWV/RWO5/HBET:1-2/RES,3,23024.0,11512.0,5756.0,5756.0,135.0,24.0,5.0,22.0,11.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,W+WLI/LPB+DUL/H:1/RES,12,2426116.0,1213058.0,606529.0,606529.0,1886.0,94.0,19.0,89.0,45.0
TUV,Tuvalu,TUV.1_1,Funafuti,Total,Res,W+WLI/LPB+DUL/HBET:2-3/RES,3,1949018.0,974509.0,487254.0,487254.0,342.0,24.0,5.0,22.0,11.0
TUV,Tuvalu,TUV.2_1,Nanumanga,Total,Res,MCF/LWAL+DUL/H:1/RES,120,7483156.0,3367420.0,2244947.0,1870789.0,3713.0,294.0,58.0,278.0,140.0
TUV,Tuvalu,TUV.2_1,Nanumanga,Total,Res,W+WLI/LPB+DUL/EWV/RWO5/HBET:1-2/RES,48,198832.0,99416.0,49708.0,49708.0,503.0,118.0,23.0,111.0,56.0
TUV,Tuvalu,TUV.2_1,Nanumanga,Total,Res,W+WLI/LPB+DUL/H:1/RES,28,1740815.0,870407.0,435204.0,435204.0,909.0,69.0,14.0,65.0,33.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,MCF/LWAL+DUL/H:1/RES,94,4490213.0,2020596.0,1347064.0,1122553.0,9280.0,107.0,21.0,101.0,51.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,S+SL/LPB+DUL/EWME/RME1/H:1/RES,2,12483.0,3745.0,4993.0,3745.0,75.0,2.0,0.0,2.0,1.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,S+SL/LPB+DUL/EWO+WOL/H:1/RES,5,19484.0,5845.0,7794.0,5845.0,142.0,6.0,1.0,5.0,3.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,W+WLI/LFBR+DUL/H:1/RES,64,2081448.0,520362.0,832579.0,728507.0,4382.0,73.0,14.0,69.0,35.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,W+WLI/LPB+DNO/HBET:1-2/RES,19,42035.0,21018.0,10509.0,10509.0,860.0,22.0,4.0,20.0,10.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,W+WLI/LPB+DUL/EWO+WOL/RWO5/H:1/RES,2,4234.0,2117.0,1059.0,1059.0,33.0,2.0,0.0,2.0,1.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,W+WLI/LPB+DUL/EWV/RWO5/HBET:1-2/RES,234,1637437.0,818719.0,409359.0,409359.0,12409.0,266.0,53.0,251.0,126.0
TUV,Tuvalu,TUV.3_1,Nanumea,Total,Res,W+WLI/LPB+DUL/H:1/RES,69,4826023.0,2413011.0,1206506.0,1206506.0,9879.0,78.0,16.0,74.0,37.0
TUV,Tuvalu,TUV.4_1,Niulakita,Total,Res,MCF/LWAL+DUL/H:1/RES,4,344409.0,154984.0,103323.0,86102.0,342.0,12.0,2.0,11.0,6.0
TUV,Tuvalu,TUV.4_1,Niulakita,Total,Res,W+WLI/LPB+DUL/H:1/RES,6,681864.0,340932.0,170466.0,170466.0,666.0,18.0,4.0,17.0,9.0
TUV,Tuvalu,TUV.5_1,Niutao,Total,Res,MCF/LWAL+DUL/H:1/RES,118,6773272.0,3047972.0,2031982.0,1693318.0,2828.0,358.0,71.0,337.0,170.0
TUV,Tuvalu,TUV.5_1,Niutao,Total,Res,W+WLI/LPB+DUL/H:1/RES,82,6037334.0,3018667.0,1509333.0,1509333.0,4213.0,248.0,49.0,234.0,118.0
TUV,Tuvalu,TUV.6_1,Nui,Total,Res,MCF/LWAL+DUL/H:1/RES,42,2715189.0,1221835.0,814557.0,678797.0,2386.0,142.0,28.0,134.0,67.0
TUV,Tuvalu,TUV.6_1,Nui,Total,Res,W+WLI/LFBR+DUL/H:1/RES,10,783970.0,195993.0,313588.0,274390.0,759.0,34.0,7.0,32.0,16.0
TUV,Tuvalu,TUV.6_1,Nui,Total,Res,W+WLI/LPB+DNO/HBET:1-2/RES,36,109997.0,54999.0,27499.0,27499.0,1033.0,122.0,24.0,115.0,58.0
TUV,Tuvalu,TUV.6_1,Nui,Total,Res,W+WLI/LPB+DUL/EWV/RWO5/HBET:1-2/RES,22,72504.0,36252.0,18126.0,18126.0,335.0,74.0,15.0,70.0,35.0
TUV,Tuvalu,TUV.6_1,Nui,Total,Res,W+WLI/LPB+DUL/H:1/RES,50,6681883.0,3340941.0,1670471.0,1670471.0,5957.0,169.0,33.0,159.0,80.0
TUV,Tuvalu,TUV.7_1,Nukufetau,Total,Res,MCF/LWAL+DUL/H:1/RES,179,9850207.0,4432593.0,2955062.0,2462552.0,19922.0,433.0,86.0,409.0,206.0
TUV,Tuvalu,TUV.7_1,Nukufetau,Total,Res,S+SL/LPB+DUL/EWO+WOL/H:1/RES,1,9995.0,2998.0,3998.0,2998.0,73.0,2.0,0.0,2.0,1.0
TUV,Tuvalu,TUV.7_1,Nukufetau,Total,Res,W+WLI/LFBR+DUL/H:1/RES,7,280921.0,70230.0,112368.0,98322.0,579.0,17.0,3.0,16.0,8.0
TUV,Tuvalu,TUV.7_1,Nukufetau,Total,Res,W+WLI/LPB+DNO/HBET:1-2/RES,5,19074.0,9537.0,4769.0,4769.0,503.0,12.0,2.0,11.0,6.0
TUV,Tuvalu,TUV.7_1,Nukufetau,Total,Res,W+WLI/LPB+DUL/EWV/RWO5/HBET:1-2/RES,9,105773.0,52886.0,26443.0,26443.0,723.0,22.0,4.0,21.0,10.0
TUV,Tuvalu,TUV.7_1,Nukufetau,Total,Res,W+WLI/LPB+DUL/H:1/RES,22,1782717.0,891359.0,445679.0,445679.0,3671.0,53.0,11.0,50.0,25.0
TUV,Tuvalu,TUV.8_1,Nukulaelae,Total,Res,MCF/LWAL+DUL/H:1/RES,132,10616628.0,4777483.0,3184988.0,2654157.0,3690.0,267.0,53.0,252.0,127.0
TUV,Tuvalu,TUV.8_1,Nukulaelae,Total,Res,W+WLI/LFBR+DUL/H:1/RES,20,782878.0,195720.0,313151.0,274007.0,319.0,40.0,8.0,38.0,19.0
TUV,Tuvalu,TUV.8_1,Nukulaelae,Total,Res,W+WLI/LPB+DUL/H:1/RES,8,1026540.0,513270.0,256635.0,256635.0,547.0,16.0,3.0,15.0,8.0
TUV,Tuvalu,TUV.9_1,Vaitupu,Total,Res,CR+CIP/LFINF+DUL/HBET:2-3/RES,1,332005.0,99602.0,166003.0,66401.0,87.0,4.0,1.0,4.0,2.0
TUV,Tuvalu,TUV.9_1,Vaitupu,Total,Res,MCF/LWAL+DUL/H:1/RES,249,29975360.0,13488912.0,8992608.0,7493840.0,20685.0,992.0,196.0,935.0,471.0
TUV,Tuvalu,TUV.9_1,Vaitupu,Total,Res,W+WLI/LFBR+DUL/H:1/RES,25,2818365.0,704591.0,1127346.0,986428.0,2174.0,100.0,20.0,94.0,47.0
TUV,Tuvalu,TUV.9_1,Vaitupu,Total,Res,W+WLI/LPB+DUL/EWV/RWO5/HBET:1-2/RES,18,220587.0,110294.0,55147.0,55147.0,1274.0,72.0,14.0,68.0,34.0
TUV,Tuvalu,TUV.9_1,Vaitupu,Total,Res,W+WLI/LPB+DUL/H:1/RES,97,12523071.0,6261536.0,3130768.0,3130768.0,8529.0,386.0,76.0,364.0,183.0
TUV,Tuvalu,TUV.9_1,Vaitupu,Total,Res,W+WLI/LPB+DUL/HBET:2-3/RES,3,1129605.0,564802.0,282401.0,282401.0,372.0,12.0,2.0,11.0,6.0
