ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
ARG,Argentina,Com,MCF,MCF/LWAL+DNO/H:1/COM1,13968720.0,93124.8,3951990351.7759,3951990351.7759,5269320469.0294,0.0,0.0,13173301172.3801
ARG,Argentina,Com,MCF,MCF/LWAL+DNO/H:1/COM3,2888190.0,19254.6,817118462.8325,817118462.8325,1089491283.7513,0.0,0.0,2723728209.4351
ARG,Argentina,Com,MCF,MCF/LWAL+DNO/H:1/COM6,2114909.9999,14099.4,598344294.6007,598344294.6007,797792392.7662,0.0,0.0,1994480981.9475
ARG,Argentina,Com,MCF,MCF/LWAL+DNO/H:2/COM1,9283949.9998,30946.5,2626588608.4349,2626588608.4349,3502118144.4065,0.0,0.0,8755295361.3997
ARG,Argentina,Com,MCF,MCF/LWAL+DNO/H:2/COM2,17123850.0,34247.7,4844630716.7755,4844630716.7755,6459507622.2406,0.0,0.0,16148769055.6181
ARG,Argentina,Com,MCF,MCF/LWAL+DNO/H:2/COM3,4296779.9999,14322.6,1215632721.0771,1215632721.0771,1620843628.0269,0.0,0.0,4052109070.2499
ARG,Argentina,Com,MCF,MCF/LWAL+DNO/H:2/COM6,5327369.9999,17757.9,1507204299.3433,1507204299.3433,2009605732.3942,0.0,0.0,5024014331.2286
ARG,Argentina,Com,MUR,MUR/LWAL+DNO/H:1/COM1,6988005.0,46586.7,1977026408.8622,1647522007.4219,2965539613.2607,0.0,0.0,6590088029.5491
ARG,Argentina,Com,MUR,MUR/LWAL+DNO/H:1/COM6,2652480.0,17683.2,750432063.0887,625360052.5764,1125648094.6446,0.0,0.0,2501440210.1623
ARG,Argentina,Com,MUR,MUR/LWAL+DNO/H:2/COM1,2324160.0001,7747.2,657544706.7494,547953922.2688,986317060.1693,0.0,0.0,2191815689.1548
ARG,Argentina,Com,RC,CR+PC/LFM+DUL/H:1/COM2,14227425.0001,56909.7,5057280490.5874,5779749132.0808,3612343207.4853,0.0,0.0,14449372830.2772
ARG,Argentina,Com,RC,CR/LFINF+DNO/HBET:1-3/COM1,2707897.5001,10315.8,962549245.3528,1100056280.4807,687535175.2435,0.0,0.0,2750140701.0035
ARG,Argentina,Com,RC,CR/LFINF+DNO/HBET:1-3/COM2,7491487.5,17123.4,2662924146.6828,3043341881.9663,1902088676.3073,0.0,0.0,7608354705.0865
ARG,Argentina,Com,RC,CR/LFINF+DNO/HBET:1-3/COM3,1688006.2501,6430.5,600018701.6159,685735659.0328,428584786.8777,0.0,0.0,1714339147.4554
ARG,Argentina,Com,RC,CR/LFINF+DNO/HBET:1-3/COM6,3128186.2501,11916.9,1111945084.4286,1270794382.2829,794246488.8819,0.0,0.0,3176985955.5563
ARG,Argentina,Com,RC,CR/LFINF+DNO/HBET:4-6/COM3,1443825.0,1925.1,513222034.5114,586539468.0046,366587167.5058,0.0,0.0,1466348669.9989
ARG,Argentina,Com,RC,CR/LFINF+DNO/HBET:4-6/COM6,2637225.0,3516.3,937427998.4994,1071346283.955,669591427.5433,0.0,0.0,2678365710.0097
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:1-3/COM1,2702463.75,10295.1,960617764.5766,1097848873.7929,686155546.1307,0.0,0.0,2744622184.5087
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:1-3/COM2,5047087.5,11536.2,1794037722.7861,2050328826.0382,1281455516.1788,0.0,0.0,5125822064.9797
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:1-3/COM3,3362782.4998,12810.6,1195334667.4335,1366096762.6713,853810476.7412,0.0,0.0,3415241906.928
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:1-3/COM6,1528537.5,5823.0,543333939.7505,620953074.0,388095671.2516,0.0,0.0,1552382685.0041
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:4-6/COM1,3717900.0001,4957.2,1321564733.9708,1510359695.997,943974810.0381,0.0,0.0,3775899240.0545
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:4-6/COM2,14226749.9997,11381.4,5057040555.0013,5779474919.8426,3612171824.9839,0.0,0.0,14448687299.023
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:4-6/COM3,5751675.0,7668.9,2044490395.4433,2336560452.0362,1460350282.4457,0.0,0.0,5841401130.0665
ARG,Argentina,Com,RC,CR/LFINF+DUL/HBET:4-6/COM6,2645325.0,3527.1,940307224.5447,1074636827.9882,671648017.4975,0.0,0.0,2686592069.9257
ARG,Argentina,Com,RC,CR/LWAL+DUL/HBET:7-10/COM1,1468800.0,1224.0,522099648.0029,596685312.0122,372928319.9708,0.0,0.0,1491713279.8166
ARG,Argentina,Com,RC,CR/LWAL+DUL/HBET:7-10/COM3,2292840.0,1910.7,815012906.4113,931443321.6203,582152076.0051,0.0,0.0,2328608304.0493
ARG,Argentina,Com,RC,CR/LWAL+DUL/HBET:7-10/COM6,859680.0,716.4,305581852.8032,349236403.1867,218272751.998,0.0,0.0,873091008.0452
ARG,Argentina,Com,S,SR/LFM+DUL/HBET:1-3/COM2,12528337.4997,28636.2,5513637811.3521,5513637811.3521,2756818905.7157,0.0,0.0,13784094528.5739
ARG,Argentina,Com,S,SR/LFM+DUL/HBET:1-3/COM3,2518424.9999,9594.0,1108342052.9728,1108342052.9728,554171026.4919,0.0,0.0,2770855132.4638
ARG,Argentina,Com,S,SR/LFM+DUL/HBET:1-3/COM6,2341473.75,8919.9,1030466987.5395,1030466987.5395,515233493.7738,0.0,0.0,2576167468.9169
ARG,Argentina,Ind,MCF,MCF/LWAL+DNO/H:1/IND3,1297800.0,6489.0,562501127.9888,351563204.9888,492188487.0112,0.0,0.0,1406252819.8175
ARG,Argentina,Ind,MCF,MCF/LWAL+DNO/H:1/IND5,1922200.0,9611.0,833132738.6505,520707961.6505,728991146.3495,0.0,0.0,2082831846.4047
ARG,Argentina,Ind,MCF,MCF/LWAL+DNO/H:2/IND2,8036800.0,10046.0,3483363434.3839,2177102146.3959,3047943005.6161,0.0,0.0,8708408586.5075
ARG,Argentina,Ind,MCF,MCF/LWAL+DNO/H:2/IND3,4124800.0,10312.0,1787798314.9495,1117373946.9495,1564323525.0505,0.0,0.0,4469495786.9591
ARG,Argentina,Ind,MCF,MCF/LWAL+DNO/H:2/IND4,966400.0,2416.0,418863530.7408,261789706.7408,366505589.2592,0.0,0.0,1047158826.7408
ARG,Argentina,Ind,MCF,MCF/LWAL+DNO/H:2/IND5,4996800.0,12492.0,2165746368.336,1353591480.3351,1895028071.664,0.0,0.0,5414365920.3471
ARG,Argentina,Ind,MUR,MUR/LWAL+DNO/H:1/IND2,507999.9999,1270.0,177838295.3283,101621883.077,228649236.8863,0.0,0.0,508109415.3283
ARG,Argentina,Ind,MUR,MUR/LWAL+DNO/H:1/IND3,79200.0,396.0,27725970.4603,15843411.6905,35647676.3095,0.0,0.0,79217058.4524
ARG,Argentina,Ind,RC,CR+PC/LFM+DUL/H:1/IND2,2056800.0,5142.0,1337207952.0,802324771.2,534883180.8,0.0,0.0,2674415904.0
ARG,Argentina,Ind,RC,CR+PC/LFM+DUL/H:1/IND3,3805600.0,19028.0,2474172784.0,1484503670.4,989669113.6,0.0,0.0,4948345568.0
ARG,Argentina,Ind,RC,CR+PC/LFM+DUL/H:1/IND4,285000.0,1425.0,185289900.0,111173940.0,74115960.0,0.0,0.0,370579800.0
ARG,Argentina,Ind,RC,CR+PC/LFM+DUL/H:1/IND5,2120800.0,10604.0,1378816912.0,827290147.2,551526764.8,0.0,0.0,2757633824.0
ARG,Argentina,Ind,RC,CR/LFINF+DNO/HBET:1-3/IND2,7557200.0,10796.0,4913238008.0,2947942804.8,1965295203.2,0.0,0.0,9826476016.0
ARG,Argentina,Ind,RC,CR/LFINF+DNO/HBET:1-3/IND3,5109650.0,14599.0,3321987851.0,1993192710.6,1328795140.4,0.0,0.0,6643975702.0
ARG,Argentina,Ind,RC,CR/LFINF+DNO/HBET:1-3/IND4,821100.0,2346.0,533829954.0,320297972.4,213531981.6,0.0,0.0,1067659908.0
ARG,Argentina,Ind,RC,CR/LFINF+DNO/HBET:1-3/IND5,2774100.0,7926.0,1803553374.0,1082132024.4,721421349.6,0.0,0.0,3607106748.0
ARG,Argentina,Ind,RC,CR/LFINF+DUL/HBET:1-3/IND2,1780800.0,2544.0,1157769312.0,694661587.2,463107724.8,0.0,0.0,2315538624.0
ARG,Argentina,Ind,RC,CR/LFINF+DUL/HBET:1-3/IND4,498050.0,1423.0,323802227.0,194281336.2,129520890.8,0.0,0.0,647604454.0
ARG,Argentina,Ind,RC,CR/LFINF+DUL/HBET:1-3/IND5,942200.0,2692.0,612561908.0,367537144.8,245024763.2,0.0,0.0,1225123816.0
ARG,Argentina,Ind,S,SL/LFM+DUL/H:1/IND2,1201199.9999,3003.0,638957591.9727,496967015.9464,283981151.9972,0.0,0.0,1419905759.9758
ARG,Argentina,Ind,S,SL/LFM+DUL/H:1/IND3,334800.0,1674.0,178091077.1633,138515282.1826,79151589.8167,0.0,0.0,395757949.1633
ARG,Argentina,Ind,S,SL/LFM+DUL/H:1/IND5,2367600.0,11838.0,1259403925.5468,979536386.1746,559735077.8154,0.0,0.0,2798675389.5435
ARG,Argentina,Ind,S,SR/LFM+DUL/H:1/IND2,3205199.9998,8013.0,1704950777.3852,1326072826.7746,757755901.0855,0.0,0.0,3788779505.4188
ARG,Argentina,Ind,S,SR/LFM+DUL/H:1/IND3,4163400.0,20817.0,2214648717.491,1722504557.4377,984288318.5497,0.0,0.0,4921441593.4709
ARG,Argentina,Ind,S,SR/LFM+DUL/H:1/IND4,369400.0,1847.0,196495949.5357,152830182.9102,87331533.0893,0.0,0.0,436657665.5357
ARG,Argentina,Ind,S,SR/LFM+DUL/H:1/IND5,3990000.0,19950.0,2122411582.5503,1650764563.6206,943294036.3666,0.0,0.0,4716470182.5349
ARG,Argentina,Res,ADO/E,MUR+ADO/LWAL+DNO/H:1/RES,22950450.0,306006.0,3786824250.0,3786824250.0,11360472750.0,306000.4563,1091650.1226,18934121250.0
ARG,Argentina,Res,ADO/E,MUR+ADO/LWAL+DNO/H:2/RES,2885006.25,51289.0,476026031.25,476026031.25,1428078093.75,51272.9767,182844.117,2380130156.25
ARG,Argentina,Res,MCF,MCF/LWAL+DNO/H:1/RES,156295000.0,1562950.0,44283583333.3333,53140300000.0,79710450000.0,1562944.6475,5321082.2394,177134333333.3334
ARG,Argentina,Res,MCF,MCF/LWAL+DNO/H:2/RES,103477000.0,517385.0,29318483333.3333,35182180000.0,52773270000.0,1034774.0051,3373430.3095,117273933333.3333
ARG,Argentina,Res,MCF,MCF/LWAL+DNO/H:3/RES,46720350.0,311469.0,13237432500.0,15884919000.0,23827378500.0,622889.6221,1955003.8868,52949730000.0
ARG,Argentina,Res,MCF,MCF/LWAL+DUH/H:1/RES,4701600.0,39180.0,1763100000.0,2115720000.0,3173580000.0,39179.4503,160360.012,7052400000.0
ARG,Argentina,Res,MCF,MCF/LWAL+DUH/H:2/RES,2818560.0,11744.0,1056960000.0,1268352000.0,1902528000.0,23484.525,93694.4417,4227840000.0
ARG,Argentina,Res,MCF,MCF/LWAL+DUH/H:3/RES,1242720.0,6904.0,466020000.0,559224000.0,838836000.0,13804.523,53687.7182,1864080000.0
ARG,Argentina,Res,MCF,MCF/LWAL+DUL/H:1/RES,47111000.0,471110.0,13348116666.6667,16017740000.0,24026610000.0,471114.4232,1548657.9218,53392466666.6667
ARG,Argentina,Res,MCF,MCF/LWAL+DUL/H:2/RES,37271600.0,186358.0,10560286666.6667,12672344000.0,19008516000.0,372700.2949,1124757.9837,42241146666.6667
ARG,Argentina,Res,MCF,MCF/LWAL+DUL/H:3/RES,20945100.0,139634.0,5934445000.0,7121334000.0,10682001000.0,279256.947,793726.314,23737780000.0
ARG,Argentina,Res,MCF,MCF/LWAL+DUM/H:1/RES,3957800.0,39578.0,1121376666.6667,1345652000.0,2018478000.0,39576.5565,151963.8745,4485506666.6667
ARG,Argentina,Res,MCF,MCF/LWAL+DUM/H:2/RES,1689150.0,22522.0,478592500.0,574311000.0,861466500.0,22519.1874,85853.6481,1914370000.0
ARG,Argentina,Res,MCF,MCF/LWAL+DUM/H:3/RES,946950.0,6313.0,268302500.0,321963000.0,482944500.0,12628.1889,47676.5932,1073210000.0
ARG,Argentina,Res,MUR,MUR+ST/LWAL+DNO/H:1/RES,31302900.0,417372.0,5164978500.0,5164978500.0,15494935500.0,417388.1018,1379653.309,25824892500.0
ARG,Argentina,Res,MUR,MUR+ST/LWAL+DNO/H:2/RES,8120475.0,144364.0,1339878375.0,1339878375.0,4019635125.0,144356.1246,479084.2389,6699391875.0
ARG,Argentina,Res,MUR,MUR/LWAL+DNO/H:1/RES,282645900.0,3768612.0,46636573500.0,46636573500.0,139909720500.0,3768604.3434,12818961.7613,233182867500.0
ARG,Argentina,Res,MUR,MUR/LWAL+DNO/H:2/RES,106508362.5,1893482.0,17573879812.5,17573879812.5,52721639437.5,1893467.0902,6342729.9974,87869399062.5
ARG,Argentina,Res,MUR,MUR/LWAL+DNO/H:3/RES,36114300.0,321016.0,5958859500.0,5958859500.0,17876578500.0,641990.1298,2117008.7634,29794297500.0
ARG,Argentina,Res,OT,UNK/LN+DNO/H:1/RES,7633800.0,101784.0,2159274857.1429,2879033142.8571,2159274857.1429,101799.3873,354674.782,7197582857.1429
