ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
BOL,Bolivia,Com,MCF,MCF/LWAL+DNO/H:1/COM1,886275.0,5908.5,201311035.7143,201311035.7143,268414714.2857,0.0,0.0,671036785.7143
BOL,Bolivia,Com,MCF,MCF/LWAL+DNO/H:1/COM2,74925.0,299.7,17018678.5714,17018678.5714,22691571.4286,0.0,0.0,56728928.5714
BOL,Bolivia,Com,MCF,MCF/LWAL+DNO/H:1/COM6,5194395.0,34629.3,1179869721.4286,1179869721.4286,1573159628.5714,0.0,0.0,3932899071.4286
BOL,Bolivia,Com,MCF,MCF/LWAL+DNO/H:2/COM1,1294650.0,4315.5,294070500.0,294070500.0,392094000.0,0.0,0.0,980235000.0
BOL,Bolivia,Com,MCF,MCF/LWAL+DNO/H:2/COM2,197550.0,395.1,44872071.4286,44872071.4286,59829428.5714,0.0,0.0,149573571.4286
BOL,Bolivia,Com,MCF,MCF/LWAL+DNO/H:2/COM6,10285650.0,34285.5,2336311928.5714,2336311928.5714,3115082571.4286,0.0,0.0,7787706428.5714
BOL,Bolivia,Com,MUR,MUR/LWAL+DNO/H:1/COM1,221265.0,1475.1,50258764.2857,41882303.5714,75388146.4286,0.0,0.0,167529214.2857
BOL,Bolivia,Com,MUR,MUR/LWAL+DNO/H:2/COM1,659070.0,2196.9,149703042.8571,124752535.7143,224554564.2857,0.0,0.0,499010142.8571
BOL,Bolivia,Com,MUR,MUR/LWAL+DNO/H:2/COM6,6921990.0,23073.3,1572280585.7143,1310233821.4286,2358420878.5714,0.0,0.0,5240935285.7143
BOL,Bolivia,Com,RC,CR+PC/LFM+DUL/HBET:1-3/COM2,55912.5,127.8,15956567.3077,18236076.9231,11397548.0769,0.0,0.0,45590192.3077
BOL,Bolivia,Com,RC,CR/LFINF+DNO/HBET:1-3/COM1,387450.0,1476.0,110572269.2308,126368307.6923,78980192.3077,0.0,0.0,315920769.2308
BOL,Bolivia,Com,RC,CR/LFINF+DNO/HBET:1-3/COM2,158681.25,362.7,45285187.5,51754500.0,32346562.5,0.0,0.0,129386250.0
BOL,Bolivia,Com,RC,CR/LFINF+DNO/HBET:1-3/COM6,4508358.75,17174.7,1286616227.8846,1470418546.1538,919011591.3462,0.0,0.0,3676046365.3846
BOL,Bolivia,Com,RC,CR/LFINF+DUL/HBET:1-3/COM1,383197.5,1459.8,109358671.1538,124981338.4615,78113336.5385,0.0,0.0,312453346.1538
BOL,Bolivia,Com,RC,CR/LFINF+DUL/HBET:1-3/COM2,49218.75,112.5,14046274.0385,16052884.6154,10033052.8846,0.0,0.0,40132211.5385
BOL,Bolivia,Com,RC,CR/LFINF+DUL/HBET:4-6/COM2,162000.0,129.6,46232307.6923,52836923.0769,33023076.9231,0.0,0.0,132092307.6923
BOL,Bolivia,Ind,MCF,MCF/LWAL+DNO/H:1/IND3,7200.0,36.0,1704480.0,1065300.0,1491420.0,0.0,0.0,4261200.0
BOL,Bolivia,Ind,MCF,MCF/LWAL+DNO/H:1/IND4,238800.0,1194.0,56531920.0,35332450.0,49465430.0,0.0,0.0,141329800.0
BOL,Bolivia,Ind,MCF,MCF/LWAL+DNO/H:2/IND2,30600.0,51.0,7244040.0,4527525.0,6338535.0,0.0,0.0,18110100.0
BOL,Bolivia,Ind,MCF,MCF/LWAL+DNO/H:2/IND3,18800.0,47.0,4450586.6667,2781616.6667,3894263.3333,0.0,0.0,11126466.6667
BOL,Bolivia,Ind,MCF,MCF/LWAL+DNO/H:2/IND4,1454000.0,3635.0,344210266.6667,215131416.6667,301183983.3333,0.0,0.0,860525666.6667
BOL,Bolivia,Ind,MUR,MUR/LWAL+DNO/H:1/IND2,9600.0,32.0,1835593.8462,1048910.7692,2360049.2308,0.0,0.0,5244553.8462
BOL,Bolivia,Ind,MUR,MUR/LWAL+DNO/H:1/IND3,3600.0,18.0,688347.6923,393341.5385,885018.4615,0.0,0.0,1966707.6923
BOL,Bolivia,Ind,RC,CR+PC/LFM+DUL/H:1/IND2,11700.0,39.0,4154670.0,2492802.0,1661868.0,0.0,0.0,8309340.0
BOL,Bolivia,Ind,RC,CR+PC/LFM+DUL/H:1/IND3,22200.0,111.0,7883220.0,4729932.0,3153288.0,0.0,0.0,15766440.0
BOL,Bolivia,Ind,RC,CR+PC/LFM+DUL/H:1/IND4,247400.0,1237.0,87851740.0,52711044.0,35140696.0,0.0,0.0,175703480.0
BOL,Bolivia,Ind,RC,CR/LFINF+DNO/HBET:1-3/IND2,49350.0,94.0,17524185.0,10514511.0,7009674.0,0.0,0.0,35048370.0
BOL,Bolivia,Ind,RC,CR/LFINF+DNO/HBET:1-3/IND3,21700.0,62.0,7705670.0,4623402.0,3082268.0,0.0,0.0,15411340.0
BOL,Bolivia,Ind,RC,CR/LFINF+DNO/HBET:1-3/IND4,1319850.0,3771.0,468678735.0,281207241.0,187471494.0,0.0,0.0,937357470.0
BOL,Bolivia,Ind,RC,CR/LFINF+DUL/HBET:1-3/IND2,13125.0,25.0,4660687.5,2796412.5,1864275.0,0.0,0.0,9321375.0
BOL,Bolivia,Ind,RC,CR/LFINF+DUL/HBET:1-3/IND4,454650.0,1299.0,161446215.0,96867729.0,64578486.0,0.0,0.0,322892430.0
BOL,Bolivia,Ind,S,SR/LFM+DUL/H:1/IND2,13200.0,44.0,3835080.0,2982840.0,1704480.0,0.0,0.0,8522400.0
BOL,Bolivia,Ind,S,SR/LFM+DUL/H:1/IND3,18600.0,93.0,5403976.3636,4203092.7273,2401767.2727,0.0,0.0,12008836.3636
BOL,Bolivia,Ind,S,SR/LFM+DUL/H:1/IND4,242800.0,1214.0,70542229.0909,54866178.1818,31352101.8182,0.0,0.0,156760509.0909
BOL,Bolivia,Res,ADO/E,MUR+ADO/LWAL+DNO/H:1/RES,63034875.0,840465.0,6303487500.0,6303487500.0,18910462500.0,840464.1,2876287.7483,31517437500.0
BOL,Bolivia,Res,ADO/E,MUR+ADO/LWAL+DNO/H:2/RES,7873481.25,139973.0,787348125.0,787348125.0,2362044375.0,139978.44,495152.7155,3936740625.0
BOL,Bolivia,Res,MCF,MCF/LWAL+DNO/H:1/RES,19043730.0,211597.0,4126141500.0,4951369800.0,7427054700.0,211588.02,813653.6216,16504566000.0
