ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,CR/LWAL/DUH/H:1-3/RES,3117.0004711779998,935100141.3534,280530042.40602,467550070.6767,187020028.27068,604100.0,19260.864,3824.689839134058,18147.414492951037,9139.271946167632
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,CR/LWAL/DUH/H:4-7/RES,692.000192944,1038000289.416,311400086.8248,519000144.708,207600057.8832,688500.0,22612.632,4490.2608650617985,21305.420446381242,10729.684466211509
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,CR/LWAL/DUH/H:8-19/RES,102.00002862299998,587520164.86848,176256049.460544,293760082.43424,117504032.97369601,383920.0,15943.94,3166.037894964788,15022.238245944822,7565.392889611803
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,CR/LWAL/DUL/H:1-3/RES,3258.000652553,659745132.1419826,197923539.64259475,329872566.0709913,131949026.42839651,574200.0,21490.88,4267.511071676189,20248.51570408636,10197.413609402727
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,CR/LWAL/DUL/H:4-7/RES,511.00014410299997,517387645.9042875,155216293.77128625,258693822.95214376,103477529.1808575,460440.0,16820.66,3340.130919855344,15848.27602048391,7981.396164472374
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MCF/DUH/H:1-3/RES,5224.001029073,1567200308.7219,705240138.924855,470160092.61657,391800077.180475,1034200.0,33135.520000000004,6579.823556119983,31219.99178642604,15722.790439602111
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MCF/DUL/H:1-3/RES,7346.001174397,1487565237.8153925,669404357.0169266,446269571.3446177,371891309.4538481,1310940.0,46069.388000000006,9148.142065627197,43406.167006453325,21859.905418859285
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MCF/DUL/H:1/RES,3642.000449871,368752545.5494388,165938645.49724743,110625763.66483162,92188136.3873597,314730.0,11333.292000000001,2250.48714098907,10678.126770099518,5377.642333870695
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MR/DUH/H:1-3/RES,3718.000701842,1115400210.5526,501930094.74867,334620063.16578,278850052.63815,729800.0,23089.208000000002,4584.896047822818,21754.446108438387,10955.819579725461
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MR/DUL/H:1-3/RES,8435.001351756,1708087773.73059,768639498.1787655,512426332.119177,427021943.4326475,1502640.0,52297.472,10384.872130907414,49274.21227404446,24815.12868296496
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MUR+ADO/H:1-2/RES,405.000015171,24806250.92922375,14883750.55753425,4961250.18584475,4961250.18584475,18480.0,578.86,114.94603566491827,545.3967357533721,274.66882891435165
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MUR+ADO/H:1/RES,173.00000271599995,10596250.166355,6357750.099813,2119250.0332710003,2119250.0332710003,9380.0,132.632,26.337149919340497,124.96468896873381,62.93382876095825
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MUR+STDRE/H:1-2/RES,278.00005234699995,17027503.20625375,10216501.92375225,3405500.64125075,3405500.64125075,5110.0,396.77200000000005,78.78825357226437,373.8350441183308,188.26814875100223
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,MUR/H:1-3/RES,7549.000940188,924752615.17303,554851569.103818,184950523.034606,184950523.034606,1043490.0,43167.22,8571.849514002304,40671.77016817137,20482.827911564418
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,UNK/RES,1783.000095218,180528759.6408225,54158627.89224675,72211503.856329,54158627.89224675,128070.0,5577.2880000000005,1107.4994737268437,5254.871073414044,2646.4208331514815
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,W+WLI/H:1-2/RES,13355.002399272,1352193992.92629,338048498.2315725,540877597.170516,473267897.5242015,1181520.0,43105.4,8559.573723785663,40613.523914838486,20453.49434731143
CHL,Chile,AREA # 1,REGION DE TARAPACA,Total,Res,W+WS/H:1-2/RES,3771.000663016,381813817.13037,95453454.2825925,152725526.852148,133634835.9956295,321930.0,11959.36,2374.8074164557875,11268.002462943456,5674.711339123693
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,CR/LWAL/DUH/H:1-3/RES,3845.9961899209998,1153798856.9763,346139657.09289,576899428.48815,230759771.39526,548400.0,19256.368000000002,3823.7970543910287,18143.178401799556,9137.138596040142
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,CR/LWAL/DUH/H:4-7/RES,262.9995594719999,394499339.208,118349801.7624,197249669.604,78899867.8416,163800.0,7472.352000000001,1483.8082429133526,7040.3834937639185,3545.627911888563
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,CR/LWAL/DUH/H:8-19/RES,48.99994208899984,282239666.43264,84671899.929792,141119833.21632,56447933.286528,49760.0,4386.972000000001,871.1347130100504,4133.365941059052,2081.616386898475
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,CR/LWAL/DUL/H:1-3/RES,2900.9954686609994,587451582.4038525,176235474.72115576,293725791.20192623,117490316.4807705,445230.0,16473.344,3271.1632984563926,15521.037979031888,7816.594867123764
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,CR/LWAL/DUL/H:4-7/RES,202.99966288099984,205537158.6670125,61661147.60010375,102768579.33350626,41107431.7334025,83160.0,5642.4800000000005,1120.4448525007565,5316.29439511054,2677.354410000088
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MCF/DUH/H:1-3/RES,4685.994674515,1405798402.3545,632609281.059525,421739520.70635,351449600.588625,756500.0,24443.628,4853.847451660151,23030.568567822495,11598.491305631856
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MCF/DUL/H:1-3/RES,7792.992339971,1578080948.8441274,710136426.9798573,473424284.65323824,394520237.21103185,1273500.0,41408.16,8222.547483292406,39014.399505153844,19648.154674183916
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MCF/DUL/H:1/RES,3654.996555163,370068401.2102538,166530780.5446142,111020520.36307612,92517100.30256344,129060.0,7652.192000000001,1519.5196326344922,7209.827139823218,3630.9619169881676
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MR/DUH/H:1-3/RES,4017.995889459,1205398766.8377001,542429445.076965,361619630.05131,301349691.70942503,599000.0,20252.232000000004,4021.5488749718397,19081.47259185293,9609.675649279201
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MR/DUL/H:1-3/RES,9163.991208801,1855708219.7822025,835068698.9019911,556712465.9346608,463927054.9455506,1521360.0,48913.10800000001,9712.828415592716,46085.49465976601,23209.24937449678
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MUR+ADO/H:1-2/RES,390.9996284979997,23948727.2455025,14369236.3473015,4789745.4491005,4789745.4491005,560.0,119.144,23.65879569025502,112.2564155142863,56.533778378487916
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MUR+ADO/H:1/RES,15.999985383999885,979999.10477,587999.462862,195999.820954,195999.820954,0.0,0.0,0.0,0.0,0.0
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MUR+STDRE/H:1-2/RES,413.9995593329998,25357473.00914625,15214483.80548775,5071494.60182925,5071494.60182925,840.0,142.74800000000002,28.345915591154597,134.49589405956945,67.73386654781099
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,MUR/H:1-3/RES,8565.992513288,1049334082.87778,629600449.726668,209866816.575556,209866816.575556,1093400.0,45035.308000000005,8942.801574730642,42431.86604161235,21369.23488953656
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,UNK/RES,13082.990872899,1324652825.8810236,397395847.76430714,529861130.3524095,397395847.76430714,1042200.0,34585.48,6867.74663574667,32586.131182779147,16410.79585571767
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,W+WLI/H:1-2/RES,182172.836849581,18444999731.020077,4611249932.755019,7377999892.4080305,6455749905.857027,16425990.0,513023.94800000003,101872.76547656633,483366.59399942594,243429.64965998213
CHL,Chile,AREA # 10,REGION DE LOS LAGOS,Total,Res,W+WS/H:1-2/RES,44893.960282441,4545513478.597152,1136378369.6492877,1818205391.4388604,1590929717.509003,3985740.0,125896.99200000001,24999.75837428382,118619.02442381303,59738.07026997807
CHL,Chile,AREA # 11,REGION DE AYSEN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,Total,Res,CR/LWAL/DUH/H:1-3/RES,655.9999479459999,196799984.3838,59039995.31514,98399992.1919,39359996.87676,80100.0,2880.8120000000004,572.0518240955058,2714.275405312413,1366.944094189288
CHL,Chile,AREA # 11,REGION DE AYSEN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,Total,Res,CR/LWAL/DUH/H:4-7/RES,15.999998044999968,23999997.0675,7199999.12025,11999998.53375,4799999.4135,1300.0,152.864,30.3546812629687,144.02709915040506,72.53390433466375
CHL,Chile,AREA # 11,REGION DE AYSEN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,Total,Res,CR/LWAL/DUH/H:8-19/RES,5.99999967799997,34559998.14528,10367999.443584,17279999.07264,6911999.629056,80.0,35.968,7.14227794422793,33.88872921186002,17.06680101992088
CHL,Chile,AREA # 11,REGION DE AYSEN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,Total,Res,CR/LWAL/DUL/H:1-3/RES,406.999954212,82417490.72793,24725247.218379,41208745.363965,16483498.145586,52380.0,2149.088,426.75110716761884,2024.851570408636,1019.7413609402727
CHL,Chile,AREA # 11,REGION DE AYSEN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,Total,Res,CR/LWAL/DUL/H:4-7/RES,10.999998717999974,11137498.701975001,3341249.6105925,5568749.3509875005,2227499.740395,810.0,70.81200000000001,14.061359702698736,66.7184356358494,33.600264507969236
CHL,Chile,AREA # 11,REGION DE AYSEN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,Total,Res,MCF/DUH/H:1-3/RES,660.999942879,198299982.8637,89234992.288665,59489994.85911,49574995.715925,84200.0,2977.476,591.2466960706184,2805.351365069287,1412.8111219303255
