ID_0,NAME_0,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
ARG,Argentina,Com,522908.999996204,53943748597.80731,57285979845.96025,49184399689.75728,0.0,0.0,145156090.49893546,160414128132.86838,277.5934063096814,1105.1146912367747
ARG,Argentina,Ind,198699.0,35814159584.4831,23192122666.0748,19271706419.66669,0.0,0.0,65314900.0,78277988670.2003,328.71277661186014,1198.4706195707304
ARG,Argentina,Res,11147575.0,242971384175.25183,304924048034.6841,509643861965.3159,13685742.920121742,45374179.99507617,26378541381.884193,1057539294175.2518,2366.3031091411535,40.09089353596824
BOL,Bolivia,Com,127422.0,7473763833.379121,7410971173.351649,9252540864.148354,0.0,0.0,28296529.875,24137275870.879124,222.0694218816217,853.0118702719241
BOL,Bolivia,Ind,13002.0,1256351642.8263404,778275745.0501167,705039097.4498835,0.0,0.0,4177175.0,2739666485.3263407,321.2717274265498,655.8658627724097
BOL,Bolivia,Res,3019047.0,31611590097.527473,35068575651.51099,70742708723.48901,3196168.9200000004,11829161.541120883,5486269384.0584545,137422874472.52747,1817.218938313466,25.048510171928385
BRA,Brazil,Com,2200633.2,222117824606.7857,233275696769.3657,221406629383.23444,0.0,0.0,571081407.75,676800150759.3859,259.50776701451196,1185.1202675742963
BRA,Brazil,Ind,738668.0,77914939645.48637,51032147353.08273,44329177006.76728,0.0,0.0,185049045.0,173276264005.3364,250.5172080014296,936.3802120964007
BRA,Brazil,Res,58167474.0,1012471103097.9567,1377060610871.995,2059910149909.255,72223099.2,213260542.36683694,2209686803841.5405,4449441863879.207,37988.35761445547,2.0136074742103056
CHL,Chile,Com,290172.6,48026109438.979126,52750386425.29451,36051975300.1055,0.0,0.0,79543498.5,136828471164.37914,274.12477435843357,1720.1716512931491
CHL,Chile,Ind,149882.0,42904751902.78789,26904391093.042427,18389435778.95758,0.0,0.0,45304700.0,88198578774.78789,302.2691183731202,1946.7865094523943
CHL,Chile,Res,3912913.63532937,180530596636.21045,256356292071.99557,263679816542.27405,6244285.0,19465654.552,4813990362.438784,700566705250.4801,1230.2828048576557,145.52723468593956
COL,Colombia,Com,338147.099996445,39639400695.12476,43075026357.251144,33546428981.692978,0.0,0.0,113014202.06121942,116260856033.7184,334.21609134724963,1028.7278405128257
COL,Colombia,Ind,261573.0,32936722058.57932,21148016488.36991,15760363806.78615,0.0,0.0,74905412.5,69845102353.7505,286.3652307386466,932.4439986729998
COL,Colombia,Res,6532631.285597215,161953313502.58737,236740830541.08884,330100577892.8712,15548695.304213632,45025033.04934887,3194211041225.4004,728794721938.109,488962.3953318505,0.22816110536594986
ECU,Ecuador,Com,335152.799998946,21608729565.239235,23101317035.051376,18719393308.848644,0.0,0.0,134750474.99937686,63429439909.27267,402.0568379551077,470.7177463349646
ECU,Ecuador,Ind,104378.0,16868265905.43096,10465159617.687191,9077886750.6165,0.0,0.0,32595212.5,36411312273.9132,312.28048535131927,1117.0754684883002
ECU,Ecuador,Res,4063773.0,87141849224.3547,107281555261.47208,159273021300.53018,4723637.940003774,17887121.26496935,9683822215.36362,353696425786.5935,2382.9633730436276,36.524465022235276
GUF,French Guiana,Com,1241.099999921,155068536.258973,161923094.504073,153750105.490023,0.0,0.0,355132.3499784135,470741736.26895,286.14321972525886,1325.5388766964309
GUF,French Guiana,Ind,865.0,140518927.44758,88257699.12623,73246175.8738,0.0,0.0,239265.0,302022802.4456,276.60693641618496,1262.2941192635778
GUF,French Guiana,Res,33397.444999979,991501002.996,2478752507.696,1487251504.494,50891.0,306376.23900029203,18314220.845142663,4957505015.2,548.3719142333846,270.6915602426428
GUY,Guyana,Com,7685.1,320206442.3076923,332529148.35164833,323222101.64835167,0.0,0.0,1180352.25,975957692.3076923,153.58970605457313,826.8359655413816
GUY,Guyana,Ind,5865.0,378363437.5,237980125.0,201562062.5,0.0,0.0,1352437.5,817905625.0,230.59462915601023,604.764083367993
GUY,Guyana,Res,115739.194000748,1515707918.154352,2204576302.1862073,1493719018.8633194,115739.194000748,786838.054567536,8421591.49474693,5214003239.187923,72.7635229142213,619.1232669549718
PRY,Paraguay,Com,57635.999999004,3087937860.066977,3205449912.80259,3110809430.952561,0.0,0.0,11038123.124770023,9404197203.807278,191.51438553960668,851.9742983029294
PRY,Paraguay,Ind,38702.0,4158964683.53343,2616795459.47366,2193369290.53526,0.0,0.0,10689255.0,8969129433.7414,276.1938659500801,839.0790035172142
PRY,Paraguay,Res,764696.44346,13822002313.35065,16932565206.1897,29528376833.0607,764696.44346,7254974.227073,92753379.56872565,60282944352.5775,121.2943781313368,649.9272008510573
PER,Peru,Com,247487.4,29385327892.17033,31007312274.725273,26498438600.274727,0.0,0.0,78590903.0625,86891078767.17033,317.5551687176802,1105.6124230824726
PER,Peru,Ind,162878.0,20335327215.97441,12889278659.19572,11194411401.98934,0.0,0.0,48640162.5,44419017276.9262,298.62941895160793,913.2168766279553
