ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
URY,Uruguay,1,Artigas,Rural,Res,MCF/LWAL+DNO/H:1/RES,1148.0,126319684.0,56843858.0,37895905.0,31579921.0,114836.0,3958.0,789.0,3729.0,1778.0
URY,Uruguay,1,Artigas,Rural,Res,MCF/LWAL+DNO/H:2/RES,861.0,170531573.0,76739208.0,51159472.0,42632893.0,155029.0,2968.0,591.0,2797.0,1334.0
URY,Uruguay,1,Artigas,Rural,Res,MCF/LWAL+DUL/H:1/RES,431.0,47369881.0,21316447.0,14210964.0,11842470.0,43064.0,1484.0,296.0,1398.0,667.0
URY,Uruguay,1,Artigas,Rural,Res,MCF/LWAL+DUL/H:2/RES,431.0,85265786.0,38369604.0,25579736.0,21316447.0,77514.0,1484.0,296.0,1398.0,667.0
URY,Uruguay,1,Artigas,Rural,Res,MUR+ST/LWAL+DNO/H:1/RES,1005.0,58404917.0,35042950.0,11680983.0,11680983.0,75361.0,3463.0,690.0,3263.0,1556.0
URY,Uruguay,1,Artigas,Rural,Res,MUR+ST/LWAL+DNO/H:2/RES,431.0,45055221.0,27033133.0,9011044.0,9011044.0,58136.0,1484.0,296.0,1398.0,667.0
URY,Uruguay,1,Artigas,Rural,Res,MUR/LWAL+DNO/H:1/RES,1005.0,58404917.0,35042950.0,11680983.0,11680983.0,75361.0,3463.0,690.0,3263.0,1556.0
URY,Uruguay,1,Artigas,Rural,Res,MUR/LWAL+DNO/H:2/RES,431.0,45055221.0,27033133.0,9011044.0,9011044.0,58136.0,1484.0,296.0,1398.0,667.0
URY,Uruguay,1,Artigas,Urban,Res,CR/LFINF+DNO/HBET:4-6/RES,33.0,103224240.0,30967272.0,51612120.0,20644848.0,58985.0,635.0,113.0,595.0,299.0
URY,Uruguay,1,Artigas,Urban,Res,CR/LFINF+DUL/HBET:4-6/RES,33.0,103224240.0,30967272.0,51612120.0,20644848.0,58985.0,635.0,113.0,595.0,299.0
URY,Uruguay,1,Artigas,Urban,Res,MCF/LWAL+DNO/H:1/RES,918.0,126163208.0,56773443.0,37848962.0,31540802.0,91755.0,8894.0,1587.0,8333.0,4182.0
URY,Uruguay,1,Artigas,Urban,Res,MCF/LWAL+DNO/H:2/RES,688.0,170320330.0,76644149.0,51096099.0,42580083.0,123869.0,6670.0,1190.0,6249.0,3136.0
URY,Uruguay,1,Artigas,Urban,Res,MCF/LWAL+DUL/H:1/RES,344.0,47311203.0,21290041.0,14193361.0,11827801.0,34408.0,3335.0,595.0,3125.0,1568.0
URY,Uruguay,1,Artigas,Urban,Res,MCF/LWAL+DUL/H:2/RES,344.0,85160165.0,38322074.0,25548050.0,21290041.0,61935.0,3335.0,595.0,3125.0,1568.0
URY,Uruguay,1,Artigas,Urban,Res,MUR+ST/LWAL+DNO/H:1/RES,1422.0,103331969.0,61999181.0,20666394.0,20666394.0,106665.0,13785.0,2460.0,12915.0,6482.0
URY,Uruguay,1,Artigas,Urban,Res,MUR+ST/LWAL+DNO/H:2/RES,610.0,79713233.0,47827940.0,15942647.0,15942647.0,82285.0,5908.0,1054.0,5535.0,2778.0
URY,Uruguay,1,Artigas,Urban,Res,MUR/LWAL+DNO/H:1/RES,1468.0,106665257.0,63999154.0,21333051.0,21333051.0,110106.0,14230.0,2539.0,13332.0,6691.0
URY,Uruguay,1,Artigas,Urban,Res,MUR/LWAL+DNO/H:2/RES,629.0,82284626.0,49370776.0,16456925.0,16456925.0,84939.0,6099.0,1088.0,5714.0,2867.0
URY,Uruguay,2,Canelones,Rural,Res,MCF/LWAL+DNO/H:1/RES,1229.0,135197876.0,60839044.0,40559363.0,33799469.0,122907.0,4236.0,844.0,3991.0,1903.0
URY,Uruguay,2,Canelones,Rural,Res,MCF/LWAL+DNO/H:2/RES,922.0,182517133.0,82132710.0,54755140.0,45629283.0,165925.0,3177.0,633.0,2993.0,1427.0
URY,Uruguay,2,Canelones,Rural,Res,MCF/LWAL+DUL/H:1/RES,461.0,50699204.0,22814642.0,15209761.0,12674801.0,46090.0,1588.0,317.0,1497.0,714.0
URY,Uruguay,2,Canelones,Rural,Res,MCF/LWAL+DUL/H:2/RES,461.0,91258566.0,41066355.0,27377570.0,22814642.0,82962.0,1588.0,317.0,1497.0,714.0
URY,Uruguay,2,Canelones,Rural,Res,MUR+ST/LWAL+DNO/H:1/RES,1075.0,62509813.0,37505888.0,12501963.0,12501963.0,80658.0,3706.0,739.0,3492.0,1665.0
URY,Uruguay,2,Canelones,Rural,Res,MUR+ST/LWAL+DNO/H:2/RES,461.0,48221856.0,28933114.0,9644371.0,9644371.0,62222.0,1588.0,317.0,1497.0,714.0
URY,Uruguay,2,Canelones,Rural,Res,MUR/LWAL+DNO/H:1/RES,1075.0,62509813.0,37505888.0,12501963.0,12501963.0,80658.0,3706.0,739.0,3492.0,1665.0
URY,Uruguay,2,Canelones,Rural,Res,MUR/LWAL+DNO/H:2/RES,461.0,48221856.0,28933114.0,9644371.0,9644371.0,62222.0,1588.0,317.0,1497.0,714.0
URY,Uruguay,2,Canelones,Urban,Res,CR/LFINF+DNO/HBET:4-6/RES,393.0,1239201810.0,371760543.0,619600905.0,247840362.0,708115.0,7626.0,1361.0,7145.0,3586.0
URY,Uruguay,2,Canelones,Urban,Res,CR/LFINF+DUL/HBET:4-6/RES,393.0,1239201810.0,371760543.0,619600905.0,247840362.0,708115.0,7626.0,1361.0,7145.0,3586.0
URY,Uruguay,2,Canelones,Urban,Res,MCF/LWAL+DNO/H:1/RES,11016.0,1514665702.0,681599566.0,454399711.0,378666426.0,1101575.0,106776.0,19055.0,100038.0,50203.0
URY,Uruguay,2,Canelones,Urban,Res,MCF/LWAL+DNO/H:2/RES,8261.0,2044682719.0,920107224.0,613404816.0,511170680.0,1487042.0,80077.0,14290.0,75024.0,37650.0
URY,Uruguay,2,Canelones,Urban,Res,MCF/LWAL+DUL/H:1/RES,4131.0,567967422.0,255585340.0,170390227.0,141991855.0,413067.0,40039.0,7145.0,37512.0,18825.0
URY,Uruguay,2,Canelones,Urban,Res,MCF/LWAL+DUL/H:2/RES,4131.0,1022341360.0,460053612.0,306702408.0,255585340.0,743521.0,40039.0,7145.0,37512.0,18825.0
URY,Uruguay,2,Canelones,Urban,Res,MUR+ST/LWAL+DNO/H:1/RES,17074.0,1240562841.0,744337705.0,248112568.0,248112568.0,1280581.0,165502.0,29535.0,155058.0,77814.0
URY,Uruguay,2,Canelones,Urban,Res,MUR+ST/LWAL+DNO/H:2/RES,7317.0,956951340.0,574170804.0,191390268.0,191390268.0,987821.0,70926.0,12657.0,66450.0,33347.0
URY,Uruguay,2,Canelones,Urban,Res,MUR/LWAL+DNO/H:1/RES,17625.0,1280581006.0,768348604.0,256116201.0,256116201.0,1321890.0,170841.0,30487.0,160060.0,80325.0
URY,Uruguay,2,Canelones,Urban,Res,MUR/LWAL+DNO/H:2/RES,7553.0,987820746.0,592692448.0,197564149.0,197564149.0,1019686.0,73213.0,13065.0,68593.0,34423.0
URY,Uruguay,3,Cerro Largo,Rural,Res,MCF/LWAL+DNO/H:1/RES,2035.0,223848038.0,100731617.0,67154411.0,55962009.0,203498.0,7013.0,1398.0,6608.0,3151.0
URY,Uruguay,3,Cerro Largo,Rural,Res,MCF/LWAL+DNO/H:2/RES,1526.0,302194851.0,135987683.0,90658455.0,75548713.0,274723.0,5260.0,1048.0,4956.0,2363.0
