ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MCF/LWAL+DNO/H:1/RES,31.0,2232000.0,1004400.0,669600.0,558000.0,2772.0,135.0,30.0,128.0,66.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MCF/LWAL+DNO/H:2/RES,7.0,1008000.0,453600.0,302400.0,252000.0,1188.0,58.0,13.0,55.0,28.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MCF/LWAL+DNO/H:3/RES,4.0,432000.0,194400.0,129600.0,108000.0,520.0,34.0,8.0,32.0,17.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MUR+ADO/LWAL+DNO/H:1/RES,36.0,1603125.0,961875.0,320625.0,320625.0,2722.0,154.0,34.0,146.0,75.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MUR+ADO/LWAL+DNO/H:2/RES,19.0,634570.0,380742.0,126914.0,126914.0,1052.0,75.0,17.0,71.0,37.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MUR/LWAL+DNO/H:1/RES,106.0,4720312.0,2832188.0,944062.0,944062.0,8002.0,449.0,100.0,426.0,220.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MUR/LWAL+DNO/H:2/RES,45.0,1502930.0,901758.0,300586.0,300586.0,2537.0,187.0,42.0,177.0,92.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,MUR/LWAL+DNO/H:3/RES,10.0,667969.0,400781.0,133594.0,133594.0,1176.0,86.0,19.0,82.0,42.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,W+WO/LN+DNO/H:1/RES,23.0,1260577.0,315144.0,504231.0,441202.0,1732.0,73.0,16.0,69.0,36.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,W+WWD/LWAL+DNO/H:1/RES,6.0,328846.0,82212.0,131538.0,115096.0,412.0,17.0,4.0,17.0,9.0
VEN,Venezuela,AREA # 01,Distrito Capital,Rural,Res,W+WWD/LWAL+DNO/H:2/RES,1.0,41106.0,10276.0,16442.0,14387.0,62.0,3.0,1.0,3.0,2.0
VEN,Venezuela,AREA # 01,Distrito Capital,Urban,Res,CR/LFINF+DNO/H:3/RES,6912.0,1399680000.0,419904000.0,699840000.0,279936000.0,1865655.0,75565.0,15468.0,71398.0,38062.0
VEN,Venezuela,AREA # 01,Distrito Capital,Urban,Res,CR/LFINF+DNO/HBET:4-6/RES,186.0,175770000.0,52731000.0,87885000.0,35154000.0,232917.0,13686.0,2802.0,12932.0,6894.0
