ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,CR/LFM+DUL/HBET:1-2/IND1,357.0,163570909.0,40892727.0,49071273.0,73606909.0,249900.0,0,654778.0,59778.0,107600.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,CR/LFM+DUL/HBET:1-2/IND2,555.0,30878182.0,7719545.0,9263455.0,13895182.0,49950.0,0,128220.0,11706.0,21070.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,CR/LFM+DUL/HBET:1-2/IND6,10.0,370909.0,92727.0,111273.0,166909.0,600.0,0,1411.0,129.0,232.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,MUR/LWAL+DNO/H:1/IND2,823.0,35976857.0,17988429.0,7195371.0,10793057.0,74070.0,0,199218.0,18188.0,32738.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,MUR/LWAL+DNO/H:1/IND4,4.0,159429.0,79714.0,31886.0,47829.0,360.0,0,1173.0,107.0,193.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,MUR/LWAL+DNO/H:1/IND6,9.0,262286.0,131143.0,52457.0,78686.0,540.0,0,1102.0,101.0,181.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,S/LFM+DUL/HBET:1-2/IND1,190.0,102600000.0,25650000.0,35910000.0,41040000.0,171000.0,0,440910.0,40253.0,72455.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,S/LFM+DUL/HBET:1-2/IND2,238.0,16184000.0,4046000.0,5664400.0,6473600.0,28560.0,0,76029.0,6941.0,12494.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,S/LFM+DUL/HBET:1-2/IND6,5.0,226667.0,56667.0,79333.0,90667.0,400.0,0,864.0,79.0,142.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,W/+DNO/HBET:1-2/IND4,1.0,46500.0,11625.0,16275.0,18600.0,90.0,0,339.0,31.0,56.0
BGD,Bangladesh,AREA # 10,Barisal,Total,Ind,W/+DUL/HBET:1-2/IND4,1.0,46500.0,11625.0,16275.0,18600.0,90.0,0,310.0,28.0,51.0
BGD,Bangladesh,AREA # 20,Chittagong,Total,Ind,CR/LFM+DUL/HBET:1-2/IND1,2246.0,1029076364.0,257269091.0,308722909.0,463084364.0,1572200.0,0,2453632.0,224004.0,403207.0
