ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/H:1/COM,361,9080220,2270054,3632087,3178075,16863.0,0.0,1254.0,90.0,204.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/H:2/COM,103,5157993,1289498,2063195,1805296,9579.0,0.0,712.0,51.0,116.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/H:3/COM,58,5802746,1450687,2321097,2030961,10777.0,0.0,801.0,58.0,130.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/H:4/COM,39,5802746,1450687,2321097,2030961,10777.0,0.0,801.0,58.0,130.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/H:5/COM,32,8059366,2014842,3223746,2820777,14967.0,0.0,1113.0,80.0,181.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/H:6/COM,26,8381745,2095436,3352698,2933610,15566.0,0.0,1158.0,84.0,188.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/H:7/COM,11,4231167,1057790,1692467,1480908,7858.0,0.0,584.0,42.0,95.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/HBET:11-15/COM,2,1773055,443263,709222,620568,3293.0,0.0,245.0,18.0,40.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LFM+DUL/HBET:8-10/COM,6,3223746,805935,1289498,1128310,5987.0,0.0,445.0,32.0,72.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LO+DUL/H:1/COM,17,429828,107456,171931,150439,798.0,0.0,59.0,4.0,10.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LO+DUL/H:2/COM,11,537287,134320,214914,188050,998.0,0.0,74.0,5.0,12.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LWAL+DUL/H:3/COM,17,1719327,429831,687730,601764,3193.0,0.0,237.0,17.0,39.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LWAL+DUL/H:4/COM,13,1934241,483559,773695,676983,3592.0,0.0,267.0,19.0,43.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LWAL+DUL/H:5/COM,11,2686452,671613,1074580,940258,4989.0,0.0,371.0,27.0,60.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LWAL+DUL/H:6/COM,6,2095434,523857,838172,733401,3892.0,0.0,289.0,21.0,47.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LWAL+DUL/H:7/COM,2,846227,211557,338490,296179,1572.0,0.0,117.0,8.0,19.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,CR/LWAL+DUL/HBET:8-10/COM,2,1074580,268644,429831,376103,1996.0,0.0,148.0,11.0,24.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,M+ADO/LWAL+DNO/H:1/COM,2547,35248227,15861698,8812054,10574465,164492.0,0.0,12234.0,883.0,1986.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,M+ADO/LWAL+DNO/H:2/COM,44,1147491,516371,286873,344247,5355.0,0.0,398.0,29.0,65.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,M+ADO/LWAL+DNO/H:3/COM,4,199564,89804,49890,59870,931.0,0.0,69.0,5.0,11.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,M+ST/LWAL+DNO/H:1/COM,2008,31905508,14357473,7976375,9571650,111669.0,0.0,8305.0,599.0,1348.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,M+ST/LWAL+DNO/H:2/COM,77,2694118,1212351,673529,808235,9429.0,0.0,701.0,51.0,114.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,M+ST/LWAL+DNO/H:3/COM,15,1197387,538822,299345,359216,4191.0,0.0,312.0,22.0,51.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,M+ST/LWAL+DNO/H:4/COM,4,598691,269411,149673,179607,2095.0,0.0,156.0,11.0,25.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,MIX(C-S)/LO+DNO/H:1/COM,2045,23823110,9529243,7146932,7146932,83381.0,0.0,6201.0,447.0,1007.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,MIX(C-S)/LO+DNO/H:2/COM,69,1596514,638604,478953,478953,5588.0,0.0,416.0,30.0,67.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,MIX(C-S)/LO+DNO/H:3/COM,4,199564,79826,59870,59870,698.0,0.0,52.0,4.0,8.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,MIX(C-S)/LO+DNO/H:4/COM,2,149673,59869,44902,44902,524.0,0.0,39.0,3.0,6.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,MIX(C-S)/LO+DUL/H:1/COM,1312,30583392,12233356,9175017,9175017,107042.0,0.0,7961.0,574.0,1292.0
IND,India,IN-AN,Andaman and Nicobar Islands,Total,Com,MIX(C-S)/LO+DUL/H:2/COM,51,2394781,957912,718434,718434,8382.0,0.0,623.0,45.0,101.0
