ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:1/COM,7089.0,41352500.0,41352500.0,82705000.0,7089.0,0.0,354450.0,165410000.0,50.0,466.6666666666667
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:1/COM1,14932.0,87103333.33333333,87103333.33333333,174206666.66666666,14932.0,0.0,746600.0,348413333.3333333,50.0,466.66666666666663
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:1/COM11,34.0,1586666.6666666665,1586666.6666666665,3173333.333333333,34.0,0.0,13600.0,6346666.666666666,400.0,466.66666666666663
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:1/COM12,1421.0,127890000.0,127890000.0,255780000.0,1421.0,0.0,426300.0,511560000.0,300.0,1200.0
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:1/COM2,3994.0,32617666.666666664,32617666.666666664,65235333.33333333,3994.0,0.0,279580.0,130470666.66666666,70.0,466.66666666666663
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:1/COM3,1639.0,16390000.0,16390000.0,32780000.0,1639.0,0.0,81950.0,65560000.0,50.0,800.0
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:1/COM5,2700.0,18900000.0,18900000.0,37800000.0,2700.0,0.0,162000.0,75600000.0,60.0,466.6666666666667
LKA,Sri_Lanka,Com,MUR,MUR/LWAL+DNO/H:2/COM12,932.0,83880000.0,83880000.0,167760000.0,932.0,0.0,279600.0,335520000.0,300.0,1200.0
LKA,Sri_Lanka,Com,RC,CR/LDUAL+DUL/HBET:13-/COM12,293.0,452057142.85714287,602742857.1428572,452057142.85714287,293.0,0.0,1172000.0,1506857142.857143,4000.0,1285.7142857142858
LKA,Sri_Lanka,Com,RC,CR/LDUAL+DUL/HBET:13-/COM3,31.0,59785714.28571429,79714285.71428573,59785714.28571429,296.0,0.0,232500.00000000003,199285714.2857143,7500.000000000001,857.1428571428571
LKA,Sri_Lanka,Com,RC,CR/LDUAL+DUL/HBET:6-12/COM12,135.0,208285714.28571427,277714285.71428573,208285714.28571427,135.0,0.0,540000.0,694285714.2857143,4000.0,1285.7142857142858
LKA,Sri_Lanka,Com,RC,CR/LDUAL+DUL/HBET:6-12/COM3,111.0,142714285.71428573,190285714.28571433,142714285.71428573,1088.0,0.0,555000.0,475714285.71428573,5000.0,857.1428571428572
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:1/COM1,7509.0,56317500.0,75090000.0,56317500.0,7509.0,0.0,375450.0,187725000.0,50.0,500.0
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:1/COM12,451.0,52187142.85714286,69582857.14285715,52187142.85714286,451.0,0.0,135300.0,173957142.85714287,300.0,1285.7142857142858
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:1/COM3,557.0,7161428.571428572,9548571.42857143,7161428.571428572,557.0,0.0,27850.0,23871428.571428575,50.0,857.1428571428572
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:1/COM5,1091.0,9819000.0,13092000.0,9819000.0,1091.0,0.0,65460.0,32730000.0,60.0,500.0
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:2/COM1,1839.0,55170000.0,73560000.0,55170000.0,7359.0,0.0,367800.0,183900000.0,200.0,500.0
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:2/COM12,424.0,49062857.14285715,65417142.857142866,49062857.14285715,424.0,0.0,127200.00000000001,163542857.14285716,300.00000000000006,1285.7142857142858
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:2/COM3,140.0,7200000.0,9600000.0,7200000.0,559.0,0.0,28000.0,24000000.0,200.0,857.1428571428571
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/H:2/COM5,187.0,6732000.0,8976000.0,6732000.0,741.0,0.0,44880.0,22440000.0,240.0,500.0
LKA,Sri_Lanka,Com,RC,CR/LFINF+DUL/HBET:3-5/COM1,315.0,39690000.0,52920000.0,39690000.0,3806.0,0.0,264600.0,132300000.0,840.0,500.0
