ID_0,NAME_0,OCCUPANCY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD,ID_1,NAME_1,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
SGP,Singapore,Com,66315848.0,7901,62938898604,93230653642,32647144763,0.0,0,188816697009,,,8393.348690039236,2847.2333944821153
SGP,Singapore,Ind,57534879.5213,9231,73947134562,51763000183,22184134379,0.0,0,147894269124,,,6232.789461737623,2570.5149703015895
SGP,Singapore,Res,370704912.0,93244,189747442725,607726505325,151263265575,1383686.0,5463667,948737213625,,,3975.6436017330875,2559.278776497572
SGP,Singapore,Com,38279238.0,6302,41388605454,63743066834,19034144973,0.0,0,124165817261,CR,CENTRAL REGION,6074.141225007934,3243.68570923486
SGP,Singapore,Ind,8639493.77,1168,10905796650,7634058489,3271738161,0.0,0,21811593300,CR,CENTRAL REGION,7396.826857876712,2524.6378874349257
SGP,Singapore,Res,87986749.0,34924,45909741400,147112267748,36526697852,401252.0,1662699,229548707000,CR,CENTRAL REGION,2519.3777631428243,2608.900881199736
SGP,Singapore,Com,5036352.0,322,4463727373,6463645246,2463809567,0.0,0,13391182186,ER,EAST REGION,15640.844720496894,2658.9051333187194
SGP,Singapore,Ind,7728783.7943,1338,9932840251,6952988989,2979851262,0.0,0,19865680502,ER,EAST REGION,5776.370548804185,2570.3501392613666
SGP,Singapore,Res,60304227.0,18944,30981091100,99251811472,24672552928,218855.0,925956,154905455500,ER,EAST REGION,3183.289009712838,2568.732959631503
SGP,Singapore,Com,8315699.0,549,6173338758,8315209228,4031468381,0.0,0,18520016367,NER,NORTH-EAST REGION,15146.9927140255,2227.114806223746
SGP,Singapore,Ind,6202073.8179,813,7911442120,5538010113,2373432007,0.0,0,15822884240,NER,NORTH-EAST REGION,7628.627082287823,2551.224752329306
SGP,Singapore,Res,86485208.0,25144,44161378750,141471355862,35174159138,305413.0,1135826,220806893750,NER,NORTH-EAST REGION,3439.5962456251987,2553.117450443086
SGP,Singapore,Com,5376728.0,249,3835748600,5073390041,2598107195,0.0,0,11507245836,NR,NORTH REGION,21593.28514056225,2140.1948984586907
SGP,Singapore,Ind,9556381.7492,1549,12290537851,8603377523,3687160328,0.0,0,24581075702,NR,NORTH REGION,6169.387830342156,2572.2157556187803
SGP,Singapore,Res,52980944.0,5328,26716675200,85517661168,21349039632,169707.0,643048,133583376000,NR,NORTH REGION,9943.870870870871,2521.347599997463
SGP,Singapore,Com,9307831.0,479,7077478419,9635342293,4519614647,0.0,0,21232435359,WR,WEST REGION,19431.797494780792,2281.1367502267713
SGP,Singapore,Ind,25408146.39,4363,32906517690,23034565069,9871952621,0.0,0,65813035380,WR,WEST REGION,5823.549482007793,2590.233634906257
SGP,Singapore,Res,82947784.0,8904,41978556275,134373409075,33540816025,288459.0,1096138,209892781375,WR,WEST REGION,9315.788858939803,2530.420600205546
