ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_AREA_SQM,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUL/HBET:13-/COM12,78.0,90000000.0,22500000.0,36000000.0,31500000.0,117000.0,0,16602.12,1657.85,3730.16
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUL/HBET:13-/COM3,105.0,290769230.7692308,72692307.6923077,116307692.30769232,101769230.76923075,787500.0,0,111745.05,11158.6,25106.85
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUL/HBET:6-12/COM12,79.0,91153846.15384614,22788461.538461536,36461538.46153846,31903846.15384615,118500.0,0,16814.97,1679.1,3777.98
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUL/HBET:6-12/COM3,357.0,659076923.076923,164769230.76923075,263630769.2307692,230676923.07692304,1784999.9999999998,0,253288.77,25292.83,56908.87
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUM/HBET:13-/COM12,17.0,19615384.615384616,4903846.153846154,7846153.846153847,6865384.615384615,25500.0,0,3618.41,361.33,812.98
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUM/HBET:13-/COM3,26.0,72000000.0,18000000.0,28800000.0,25200000.0,195000.0,0,27670.2,2763.08,6216.93
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUM/HBET:6-12/COM12,7.0,8076923.076923077,2019230.7692307688,3230769.230769231,2826923.076923077,10500.0,0,1489.93,148.78,334.76
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LDUAL+DUM/HBET:6-12/COM3,37.0,68307692.3076923,17076923.076923076,27323076.923076924,23907692.307692304,185000.0,0,26251.22,2621.39,5898.12
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LFINF+DUL/H:1/COM1,4684.0,50443076.92307692,12610769.23076923,20177230.769230768,17655076.92307692,234200.0,0,33232.62,3318.53,7466.7
VNM,Vietnam,AREA # 01,Ha Noi,Total,Com,CR/LFINF+DUL/H:1/COM3,2040.0,37661538.461538464,9415384.615384616,15064615.384615386,13181538.461538462,102000.0,0,14473.64,1445.3,3251.94
