ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,DWELLINGS,OCCUPANTS_PER_ASSET,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,AVG_BUILDING_AREA_SQM,AVG_TOT_COST_PER_AREA_USD
VNM,Vietnam,AREA # 01,Ha Noi,Com,112365.0,1192683822.7106225,1289589191.941392,1005375608.058608,144055.0,0.0,11731060.0,3487648622.7106223,104.40137053352912,297.30038229372474
VNM,Vietnam,AREA # 01,Ha Noi,Ind,15986.0,499905671.7948718,346499117.94871795,398555082.05128205,15986.0,0.0,2013660.0,1244959871.7948718,125.96396847241336,618.2572389553707
VNM,Vietnam,AREA # 01,Ha Noi,Res,1408227.0,4532290643.269231,12214846913.557692,11393467336.442307,1543604.0,6451908.8,123428866.0,28140604893.26923,87.64841605792247,227.99046775062513
VNM,Vietnam,AREA # 02,Ha Giang,Com,4123.0,81041915.01831502,90238468.86446887,64116931.13553113,6159.0,0.0,703990.0,235397315.01831502,170.74702886247877,334.37593576373956
VNM,Vietnam,AREA # 02,Ha Giang,Ind,347.0,11042447.319347318,7756805.92074592,8793294.07925408,347.0,0.0,44730.0,27592547.319347315,128.9048991354467,616.8689317985092
VNM,Vietnam,AREA # 02,Ha Giang,Res,146990.0,432551929.8076923,721492498.1730769,1021963676.8269231,157221.0,724537.0,10863407.5,2176008104.8076925,73.90575889516293,200.3062211196342
VNM,Vietnam,AREA # 04,Cao Bang,Com,6148.0,122155199.26739925,135123645.42124543,100644554.57875457,8889.0,0.0,979890.0,357923399.26739925,159.3835393623943,365.2689580130415
VNM,Vietnam,AREA # 04,Cao Bang,Ind,248.0,7867683.44988345,5440581.771561772,6133018.228438228,248.0,0.0,31280.0,19441283.44988345,126.12903225806451,621.5244069655835
VNM,Vietnam,AREA # 04,Cao Bang,Res,114344.0,270923404.48717946,663655765.9615384,782355034.0384616,120177.0,507183.0,8844756.0,1716934204.4871795,77.35216539564821,194.11888858066627
VNM,Vietnam,AREA # 06,Bac Kan,Com,3065.0,65725211.721611716,73076473.26007326,52928926.73992674,4583.0,0.0,533310.0,191730611.7216117,174.0,359.51062556789054
VNM,Vietnam,AREA # 06,Bac Kan,Ind,116.0,3965434.0326340324,2801633.962703963,2985166.037296037,116.0,0.0,15640.0,9752234.032634031,134.82758620689654,623.5443754881094
VNM,Vietnam,AREA # 06,Bac Kan,Res,68493.0,186572171.47435898,357957610.6730769,473986714.3269231,72918.0,293825.89999999997,5164753.5,1018516496.4743589,75.40556699224739,197.20524831908415
